date,spread_bp,credit_factor
2020-01-23,72.330000,0.723300
2020-02-28,69.850000,0.698500
2020-03-31,101.350000,1.013500
2020-04-30,126.800000,1.268000
2020-05-29,109.890000,1.098900
2020-06-30,102.200000,1.022000
2020-07-31,87.520000,0.875200
2020-08-31,72.730000,0.727300
2020-09-30,74.460000,0.744600
2020-10-30,76.360000,0.763600
2020-11-30,117.950000,1.179500
2020-12-31,141.120000,1.411200
2021-01-31,119.860000,1.198600
2021-02-28,117.910000,1.179100
2021-03-31,112.210000,1.122100
2021-04-30,107.980000,1.079800
2021-05-31,95.260000,0.952600
2021-06-30,100.960000,1.009600
2021-07-31,99.730000,0.997300
2021-08-31,102.940000,1.029400
2021-09-30,112.590000,1.125900
2021-10-31,103.480000,1.034800
2021-11-30,109.860000,1.098600
2021-12-31,108.970000,1.089700
2022-01-31,98.040000,0.980400
2022-02-28,92.420000,0.924200
2022-03-31,98.890000,0.988900
2022-04-30,77.000000,0.770000
2022-05-31,68.500000,0.685000
2022-06-30,69.520000,0.695200
2022-07-31,65.710000,0.657100
2022-08-31,63.260000,0.632600
2022-09-30,62.640000,0.626400
2022-10-31,62.160000,0.621600
2022-11-30,95.250000,0.952500
2022-12-31,146.080000,1.460800
2023-01-31,126.930000,1.269300
2023-02-28,98.560000,0.985600
2023-03-31,98.100000,0.981000
2023-04-30,93.310000,0.933100
2023-05-31,100.930000,1.009300
2023-06-30,104.580000,1.045800
2023-07-31,98.030000,0.980300
2023-08-31,82.260000,0.822600
2023-09-30,92.970000,0.929700
2023-10-31,86.890000,0.868900
2023-11-30,69.260000,0.692600
2023-12-31,75.080000,0.750800
2024-01-31,53.660000,0.536600
2024-02-29,50.890000,0.508900
2024-03-31,56.870000,0.568700
2024-04-30,45.970000,0.459700
2024-05-31,33.040000,0.330400
2024-06-30,34.640000,0.346400
2024-07-31,30.450000,0.304500
2024-08-31,42.800000,0.428000
2024-09-30,66.690000,0.666900
2024-10-31,73.390000,0.733900
2024-11-30,58.970000,0.589700
2024-12-31,63.660000,0.636600
2025-01-31,60.910000,0.609100
2025-02-28,60.030000,0.600300
2025-03-31,48.620000,0.486200
2025-04-30,56.260000,0.562600
2025-05-31,47.490000,0.474900
2025-06-30,46.320000,0.463200
2025-07-31,44.990000,0.449900
2025-08-31,40.250000,0.402500
2025-09-30,41.730000,0.417300
2025-10-31,36.710000,0.367100
2025-11-30,38.130000,0.381300
2025-12-31,45.410000,0.454100
2026-01-31,34.320000,0.343200
2026-02-28,34.740000,0.347400
2026-03-31,36.680000,0.366800
2026-04-30,32.910000,0.329100
2026-05-31,34.870000,0.348700
2026-06-30,30.900000,0.309000
2026-07-31,29.770000,0.297700
2026-08-31,29.260000,0.292600
