指标名称,上证50指数,沪深300指数,中证500指数,中证1000指数:收盘价,恒生指数,中证转债:收盘价(前复权),标普500:收盘价(前复权),中间价:美元兑人民币,美元指数,SHFE黄金:收盘价,ICE布油:收盘价,SHFE螺纹钢:收盘价,房地产(申万):收盘价(前复权),中国:M2:同比,中国:社会融资规模存量:同比,市盈率:申万大盘指数,市盈率:申万小盘指数,中债-国债总财富(总值)指数:收盘价(前复权),中债-企业债总财富(总值)指数:收盘价(前复权),中债-国债总净价(总值)指数:收盘价(前复权),中债-国开行债券总财富(3-5年)指数:收盘价(前复权),中债-企业债总财富(3-5年)指数:收盘价(前复权),中债国开债到期收益率:3年,中债中短期票据到期收益率(AA):3年,中债国债到期收益率:10年,中国:平均批发价:猪肉,中国:制造业PMI,中国:固定资产投资完成额:累计同比,中国:社会消费品零售总额:当月同比(1-2月合并),中国:出口金额:当月同比,中国:进口金额:当月同比,中国:CPI:当月同比,中国:PPI:当月同比,期货收盘价(电子盘):LME3个月铜
频率,日,日,日,日,日,日,日,日,日,日,日,日,日,月,月,日,日,日,日,日,日,日,日,日,日,日,月,月,月,月,月,月,月,日
单位,点,点,点,点,点,元,美元,,1973年3月=100,元,美元,元,元,%,%,倍,倍,元,元,元,元,元,%,%,%,元/公斤,%,%,%,%,%,%,%,美元/吨
指标ID,M0020223,M0020209,M0062541,N2691645,G0001693,000832.CSI,SPX.GI,M0000185,M0000271,AU.SHF,B.IPE,RB.SHF,801180.SI,M0001385,M5525763,M0049385,M0049387,CBA00601.CS,CBA02001.CS,CBA00602.CS,CBA02531.CS,CBA02031.CS,M1004265,S0059717,S0059749,S5065106,M0017126,M0000273,M0001428,M0000607,M0000609,M0000612,M0001227,S0029750
来源,上海证券交易所,上海证券交易所,中证指数公司,中证指数有限公司,恒生指数有限公司,,,中国人民银行,行情,,,,,中国人民银行,中国人民银行,上海申银万国证券研究所,上海申银万国证券研究所,Wind计算,Wind计算,Wind计算,Wind计算,Wind计算,中债估值中心,中债估值中心,中债估值中心,农业农村部,国家统计局,国家统计局,国家统计局,海关总署,海关总署,国家统计局,国家统计局,LME
2026-08-12,2938.385,4690.9165,8045.3099,7793.7165,25440.17,499.1284,7728.2,6.7882,,958.54,89.3,3010,1963.491,,,,,251.7383,254.6884,130.4711,248.6959,285.0245,,,,15.85,,,,,,,,
2026-08-11,2929.9291,4663.7887,7967.5386,7698.0479,25652.82,501.4182,7728.2,6.79,99.8112,949.94,89.3,3016,1897.89,,,17.97,34.89,251.7383,254.6884,130.4711,248.6959,285.0245,1.485,1.7757,1.7161,15.73,,,,,,,,14153
2026-08-10,2967.7332,4702.0247,8030.9483,7733.8995,25937.49,504.7281,7753.11,6.7884,99.81139999999999,948.2,87.88,2997,1898.04,,,18.12,35.1,251.8338,254.6612,130.5287,248.7206,284.988,1.4825,1.7851,1.7074,15.7,,,,,,,,14120
2026-08-07,2960.4242,4694.4365,7980.1245,7679.5285,25668.03,505.7929,7757.64,6.7904,99.59960000000001,936.76,82.38,3008,1867.55,,,18.12,34.87,251.5521,254.6026,130.4051,248.6487,284.8999,1.4838,1.785,1.7114,15.8,,,,,,,,14022
2026-08-06,2920.1347,4651.3098,7829.3615,7530.4251,25530.28,505.2097,7709.96,6.7895,99.94319999999999,926.9,83.08,3014,1877.2,,,17.91,34.27,251.3723,254.5801,130.319,248.6104,284.8709,1.49,1.786,1.7143,15.8,,,,,,,,14092.5
2026-08-05,2924.0627,4658.1549,7809.2065,7493.0481,25915.82,506.4689,7723.55,6.788899999999999,99.69019999999999,910.4,79.42,2990,1865.58,,,17.93,34.19,251.3878,254.5665,130.3349,248.5778,284.8453,1.495,1.797,1.7137,15.74,,,,,,,,14148.5
2026-08-04,2878.6693,4600.9304,7607.4867,7279.1927,25852.92,502.262,7736.52,6.7917,99.8592,886.48,78.68,2983,1836.9,,,17.65,33.35,251.3911,254.5462,130.3444,248.5331,284.8129,1.495,1.7944,1.7126,15.77,,,,,,,,14043.5
2026-08-03,2887.0539,4543.1781,7414.5227,7079.7761,26009.4,497.922,7600.5,6.7898,99.9646,886.64,83.7,2976,1844.64,,,17.35,32.61,251.3026,254.5297,130.306,248.5209,284.7873,1.5025,1.794,1.7169,15.7,,,,,,,,13848
2026-07-31,2922.9673,4588.1968,7493.985,7075.5065,25884.43,499.6836,7489.72,6.7894,99.78490000000001,888.3,91.04,3004,1829.38,,,17.58,32.6,251.2254,254.4823,130.2892,248.4751,284.734,1.5025,1.8002,1.7141,15.83,49.2,,,23.9,27.5,0.5,3.5,13803
2026-07-30,2926.4751,4549.7201,7309.5753,6900.6579,25858.88,496.1796,7437.63,6.7892,99.981,881.4,87.01,3014,1811.42,,,17.41,31.83,251.0701,254.4584,130.2159,248.4149,284.7002,1.51,1.8012,1.7196,15.96,,,,,,,,13798.5
