date,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币
2018-01-01,,,,,,,,285.990000,66.620000,,,6.505700
2018-01-02,2908.732000,4087.401000,6332.227000,7092.095000,30515.311000,147.443700,165.023700,285.990000,66.550000,279.400000,2695.810059,6.505800
2018-01-03,2913.260000,4111.393000,6388.253000,7159.876000,30560.949000,147.405400,165.077400,289.670000,67.920000,280.350000,2713.060059,6.494000
2018-01-04,2919.479000,4128.812000,6417.535000,7174.865000,30736.480000,147.224600,165.104300,290.190000,67.980000,279.000000,2723.989990,6.503100
2018-01-05,2932.356000,4138.751000,6417.254000,7176.868000,30814.641000,147.401100,165.165800,292.840000,67.790000,279.850000,2743.149902,6.493300
2018-01-08,2947.761000,4160.160000,6446.182000,7188.291000,30899.529000,147.569100,165.277400,292.970000,67.920000,280.200000,2747.709961,6.487500
2018-01-09,2969.318000,4189.298000,6445.746000,7176.742000,31011.410000,147.585800,165.382000,291.520000,69.160000,280.550000,2751.290039,6.497600
2018-01-10,2995.564000,4207.813000,6405.940000,7138.781000,31073.721000,147.557000,165.378700,291.690000,69.100000,279.950000,2748.229980,6.529400
2018-01-11,2997.045000,4205.586000,6425.940000,7175.398000,31120.391000,147.446700,165.338800,290.970000,69.110000,280.850000,2767.560059,6.507200
2018-01-12,3018.596000,4225.001000,6399.374000,7127.828000,31412.539000,147.464100,165.326900,291.260000,69.810000,281.550000,2786.239990,6.490200
2018-01-15,3048.808000,4225.239000,6253.376000,6929.307000,31338.869000,147.446100,165.411700,289.480000,70.220000,282.050000,,6.456200
2018-01-16,3063.861000,4258.473000,6301.133000,6960.677000,31904.750000,147.446300,165.410900,291.080000,69.320000,281.850000,2776.419922,6.435200
2018-01-17,3076.182000,4248.116000,6267.460000,6942.863000,31983.410000,147.369400,165.382200,291.860000,69.450000,280.800000,2802.560059,6.442300
2018-01-18,3106.552000,4271.417000,6286.801000,6955.232000,32121.939000,147.311600,165.406100,294.790000,69.140000,279.250000,2798.030029,6.432100
2018-01-19,3117.821000,4285.395000,6272.380000,6938.312000,32254.891000,147.429100,165.377600,298.240000,68.650000,278.350000,2810.300049,6.420600
2018-01-22,3130.330000,4336.597000,6347.638000,7014.548000,32393.410000,147.523100,165.421900,301.470000,69.230000,278.500000,2832.969971,6.403000
2018-01-23,3176.504000,4382.613000,6354.998000,7019.975000,32930.699000,147.622700,165.454600,306.450000,69.840000,279.400000,2839.129883,6.404400
2018-01-24,3180.332000,4389.885000,6394.300000,7072.406000,32958.691000,147.592500,165.465900,310.070000,70.750000,280.700000,2837.540039,6.402900
2018-01-25,3157.459000,4365.079000,6382.717000,7062.635000,32654.449000,147.657200,165.471300,309.760000,70.040000,281.750000,2839.250000,6.369300
2018-01-26,3172.778000,4381.300000,6383.631000,7056.013000,33154.121000,147.696400,165.472200,309.820000,69.940000,279.950000,2872.870117,6.322800
2018-01-29,3120.695000,4302.018000,6309.884000,6972.479000,32966.891000,147.751000,165.552200,304.240000,69.160000,278.700000,2853.530029,6.315900
2018-01-30,3079.118000,4256.102000,6313.442000,6955.243000,32607.289000,147.720600,165.571300,300.950000,68.110000,276.350000,2822.429932,6.336300
2018-01-31,3116.833000,4275.899000,6189.341000,6791.009000,32887.270000,147.801900,165.610400,302.240000,68.880000,276.600000,2823.810059,6.321100
2018-02-01,3141.230000,4245.898000,5984.743000,6506.453000,32642.090000,147.838200,165.605700,299.420000,69.780000,276.050000,2821.979980,6.288200
2018-02-02,3149.641000,4271.233000,6004.849000,6487.867000,32601.779000,147.869200,165.701900,302.540000,68.230000,276.400000,2762.129883,6.298400
2018-02-05,3181.339000,4274.146000,5998.224000,6461.813000,32245.221000,147.813300,165.738400,306.710000,66.920000,274.000000,2648.939941,6.307600
2018-02-06,3117.491000,4148.886000,5704.264000,6142.668000,30595.420000,147.991600,165.817800,302.220000,67.220000,276.000000,2695.139893,6.289700
2018-02-07,3029.601000,4050.497000,5711.332000,6158.257000,30323.199000,148.076900,165.841200,300.050000,65.350000,272.300000,2681.659912,6.282500
2018-02-08,2945.844000,4012.047000,5766.480000,6238.221000,30451.270000,148.083400,165.947800,295.020000,64.310000,271.700000,2581.000000,6.267600
2018-02-09,2810.027000,3840.653000,5554.897000,6053.020000,29507.420000,148.112100,165.966400,287.810000,62.710000,273.050000,2619.550049,6.326300
2018-02-11,,,,,,148.144100,166.074200,,,,,
2018-02-12,2805.211000,3890.105000,5699.098000,6203.752000,29459.631000,148.204300,166.091300,292.000000,62.660000,272.900000,2656.000000,6.286900
2018-02-13,2852.717000,3935.632000,5736.951000,6216.510000,29839.529000,148.235800,166.119300,294.050000,62.600000,274.250000,2662.939941,6.326500
2018-02-14,2871.787000,3966.961000,5754.834000,6230.663000,30515.600000,148.297900,166.164500,294.960000,64.350000,276.100000,2698.629883,6.340000
2018-02-15,,,,,31115.430000,,,,64.530000,,2731.199951,6.346000
2018-02-16,,,,,,,,,64.900000,,2732.219971,6.347200
2018-02-19,,,,,,,,,65.620000,,,6.340100
2018-02-20,,,,,30873.631000,,,,65.110000,,2716.260010,6.348400
2018-02-21,,,,,31431.891000,,,,65.060000,,2701.330078,6.346200
