,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子,R方
上证50,0.209982,0.000000,0.247304,0.000000,-0.034397,-0.014170,-0.552147,0.377362
沪深300,0.222916,-0.054963,0.286258,0.000000,-0.005424,-0.007933,-0.463349,0.268277
中证500,0.181215,-0.159018,0.288933,0.000000,0.000000,0.027956,-0.023611,0.125437
中证1000,0.219343,-0.188408,0.305702,0.000000,0.000000,0.016079,0.064858,0.112756
恒生指数,0.310316,-0.086966,0.269090,0.000000,-0.121817,0.000000,-0.231320,0.335065
中债国债,0.002679,0.000000,-0.999702,-0.000418,0.001211,0.000000,0.003089,0.997940
中债企业债,0.028749,0.000000,-0.613284,-0.506121,0.022001,-0.030457,0.000000,0.658182
中证转债,0.247210,-0.132014,0.157784,-0.040252,0.047244,-0.096293,0.000000,0.126907
布伦特原油,0.175453,0.000000,0.076941,0.000000,0.192727,0.000000,-0.090067,0.090570
沪金,0.150568,0.000000,-0.049016,0.000000,-0.140250,0.000000,0.032252,0.100382
标普500,0.060975,-0.007954,0.000000,0.000000,-0.178616,0.079435,-0.007158,0.126890
美元兑人民币,-0.120370,0.021566,-0.075207,0.000000,0.248551,0.039279,0.174728,0.182577
