date,hf_mom_pct,hf_growth_factor,hf_yoy
2016-08-03,0.000000,100.000000,
2016-08-04,-0.580789,99.419211,
2016-08-05,-0.577147,98.845416,
2016-08-08,0.208912,99.051916,
2016-08-09,-0.523345,98.533533,
2016-08-10,0.731694,99.254496,
2016-08-11,0.415017,99.666419,
2016-08-12,-1.543592,98.127977,
2016-08-15,0.324137,98.446046,
2016-08-16,0.660256,99.096042,
2016-08-17,-0.611753,98.489819,
2016-08-18,0.547585,99.029135,
2016-08-19,-0.016050,99.013241,
2016-08-22,-0.806792,98.214410,
2016-08-23,-0.848107,97.381446,
2016-08-24,-1.273222,96.141564,
2016-08-25,-0.033352,96.109499,
2016-08-26,-0.108494,96.005226,
2016-08-29,0.000000,96.005226,
2016-08-30,-0.192326,95.820583,
2016-08-31,0.150557,95.964847,
2016-09-01,0.116897,96.077027,
2016-09-02,-0.449286,95.645366,
2016-09-05,0.047342,95.690647,
2016-09-06,-0.127265,95.568867,
2016-09-07,0.210467,95.770008,
2016-09-08,0.424164,96.176229,
2016-09-09,-0.370241,95.820146,
2016-09-12,-0.197636,95.630770,
2016-09-13,-0.597029,95.059827,
2016-09-14,1.657339,96.635291,
2016-09-15,0.331249,96.955394,
2016-09-16,-0.297312,96.667134,
2016-09-19,0.004045,96.671044,
2016-09-20,0.310046,96.970769,
2016-09-21,-0.149848,96.825461,
2016-09-22,1.362177,98.144395,
2016-09-23,0.430763,98.567164,
2016-09-26,-0.124470,98.444478,
2016-09-27,-0.839808,97.617733,
2016-09-28,0.602343,98.205726,
2016-09-29,-0.403618,97.809351,
2016-09-30,1.222871,99.005432,
2016-10-03,-0.721488,98.291120,
2016-10-04,-0.683844,97.618962,
2016-10-05,0.029291,97.647556,
2016-10-06,-0.589776,97.071655,
2016-10-07,0.439274,97.498065,
2016-10-10,1.007211,98.480076,
2016-10-11,-0.126591,98.355409,
2016-10-12,-0.357326,98.003960,
2016-10-13,-1.477635,96.555819,
2016-10-14,-0.649275,95.928906,
2016-10-17,-0.024764,95.905150,
2016-10-18,-0.089748,95.819077,
2016-10-19,-0.105267,95.718212,
2016-10-20,-0.426282,95.310182,
2016-10-21,-0.492198,94.841067,
2016-10-24,0.233140,95.062180,
2016-10-25,1.822942,96.795109,
2016-10-26,0.036721,96.830653,
2016-10-27,0.531717,97.345518,
2016-10-28,0.872806,98.195156,
2016-10-31,0.171443,98.363505,
2016-11-01,0.872956,99.222175,
2016-11-02,-0.422143,98.803316,
2016-11-03,0.766304,99.560450,
2016-11-04,0.460783,100.019207,
2016-11-07,1.750527,101.770070,
2016-11-08,2.371273,104.183317,
2016-11-09,2.317390,106.597650,
2016-11-10,2.654395,109.427173,
2016-11-11,-0.831019,108.517812,
2016-11-14,0.122075,108.650285,
2016-11-15,-0.488038,108.120031,
2016-11-16,-1.108444,106.921581,
2016-11-17,0.352221,107.298181,
2016-11-18,-0.614456,106.638881,
2016-11-21,1.885272,108.649314,
2016-11-22,0.629268,109.333010,
2016-11-23,2.033542,111.556342,
2016-11-24,1.234594,112.933611,
2016-11-25,0.712483,113.738243,
2016-11-28,-0.455866,113.219749,
2016-11-29,-1.879908,111.091323,
2016-11-30,0.546329,111.698247,
2016-12-01,0.013029,111.712800,
2016-12-02,-0.183734,111.507545,
2016-12-05,1.902572,113.629057,
2016-12-06,-0.719048,112.812010,
2016-12-07,-0.699114,112.023325,
2016-12-08,-0.485888,111.479017,
2016-12-09,0.517218,112.055606,
2016-12-12,-0.930732,111.012669,
2016-12-13,-0.573939,110.375524,
2016-12-14,0.183010,110.577523,
2016-12-15,-0.351272,110.189095,
2016-12-16,-1.164935,108.905464,
2016-12-19,-1.952181,106.779432,
2016-12-20,0.084296,106.869443,
2016-12-21,-0.184750,106.672001,
2016-12-22,0.334877,107.029221,
2016-12-23,-0.968480,105.992665,
2016-12-26,-0.139002,105.845333,
2016-12-27,0.041205,105.888946,
2016-12-28,0.977910,106.924445,
2016-12-29,-0.398943,106.497877,
2016-12-30,0.007588,106.505958,
2017-01-03,-0.320203,106.164923,
2017-01-04,2.421397,108.735597,
2017-01-05,-0.659849,108.018106,
2017-01-06,0.079592,108.104079,
2017-01-09,0.129043,108.243580,
2017-01-10,2.084356,110.499762,
2017-01-11,0.356988,110.894234,
2017-01-12,1.917373,113.020489,
2017-01-13,0.615228,113.715823,
2017-01-16,-1.054634,112.516537,
2017-01-17,-0.950693,111.446850,
2017-01-18,-0.144215,111.286128,
2017-01-19,-0.139761,111.130593,
2017-01-20,0.109357,111.252123,
2017-01-23,0.714825,112.047381,
2017-01-24,2.030481,114.322482,
2017-01-25,0.037999,114.365923,
2017-01-26,-1.262555,112.921991,
2017-01-27,0.739950,113.757558,
2017-01-30,-0.666283,112.999610,
2017-01-31,1.243584,114.404855,
2017-02-01,0.073167,114.488562,
2017-02-02,-0.616280,113.782992,
2017-02-03,-1.897390,111.624085,
2017-02-06,1.079119,112.828642,
2017-02-07,-0.377280,112.402962,
2017-02-08,0.679786,113.167062,
2017-02-09,-0.004169,113.162343,
2017-02-10,3.285681,116.880496,
2017-02-13,0.487967,117.450835,
2017-02-14,-0.683122,116.648502,
2017-02-15,0.064606,116.723865,
2017-02-16,-0.894516,115.679751,
2017-02-17,-0.187665,115.462660,
2017-02-20,1.042082,116.665876,
2017-02-21,-0.262142,116.360046,
2017-02-22,-0.304123,116.006168,
2017-02-23,-2.318931,113.316065,
2017-02-24,0.697454,114.106392,
2017-02-27,0.365280,114.523200,
2017-02-28,0.499269,115.094979,
2017-03-01,0.386976,115.540369,
2017-03-02,-0.980763,114.407191,
2017-03-03,0.170879,114.602690,
2017-03-06,-1.120456,113.318617,
2017-03-07,-1.121303,112.047972,
2017-03-08,-0.586451,111.390866,
2017-03-09,-0.631457,110.687481,
2017-03-10,0.514624,111.257105,
2017-03-13,0.880016,112.236186,
2017-03-14,0.437399,112.727106,
2017-03-15,0.637743,113.446016,
2017-03-16,0.528771,114.045886,
2017-03-17,0.438605,114.546097,
2017-03-20,-0.576109,113.886186,
2017-03-21,-1.745781,111.897982,
2017-03-22,0.659714,112.636188,
2017-03-23,0.366150,113.048606,
2017-03-24,-0.440508,112.550618,
2017-03-27,-0.145815,112.386502,
2017-03-28,1.254939,113.796884,
2017-03-29,0.118638,113.931890,
2017-03-30,0.004106,113.936568,
2017-03-31,-0.658077,113.186778,
2017-04-03,-1.346389,111.662844,
2017-04-04,0.116045,111.792423,
2017-04-05,1.804208,113.809391,
2017-04-06,-0.668799,113.048235,
2017-04-07,-0.383716,112.614450,
2017-04-10,-1.337032,111.108759,
2017-04-11,0.043187,111.156743,
2017-04-12,-2.055684,108.871712,
2017-04-13,0.887289,109.837719,
2017-04-14,-0.116699,109.709540,
2017-04-17,0.051450,109.765985,
2017-04-18,-0.952867,108.720062,
2017-04-19,-0.126475,108.582558,
2017-04-20,0.687670,109.329248,
2017-04-21,0.004044,109.333669,
2017-04-24,0.176309,109.526434,
2017-04-25,0.761349,110.360311,
2017-04-26,0.296685,110.687734,
2017-04-27,-0.172156,110.497179,
2017-04-28,0.478859,111.026304,
2017-05-01,-0.008067,111.017347,
2017-05-02,0.996207,112.123310,
2017-05-03,-2.748034,109.042123,
2017-05-04,-0.921368,108.037444,
2017-05-05,0.186855,108.239317,
2017-05-08,-1.357433,106.770041,
2017-05-09,0.030200,106.802285,
2017-05-10,-0.345405,106.433384,
2017-05-11,0.337409,106.792501,
2017-05-12,0.314051,107.127883,
2017-05-15,0.646933,107.820929,
2017-05-16,0.414172,108.267493,
2017-05-17,0.006314,108.274329,
2017-05-18,-0.297832,107.951853,
2017-05-19,1.588640,109.666820,
2017-05-22,0.382829,110.086656,
2017-05-23,0.398930,110.525825,
2017-05-24,-0.250145,110.249350,
2017-05-25,0.313477,110.594957,
2017-05-26,-0.676403,109.846889,
