date,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2000-01-03,,,,,,,
2000-01-04,,,,,0.189406,,
2000-01-05,,,,,-0.029889,,
2000-01-06,,,,,0.268622,,
2000-01-07,,,,,0.148921,,
2000-01-10,,,,,0.188310,,
2000-01-11,,,,,-0.426694,,
2000-01-12,,,,,0.059653,,
2000-01-13,,,,,0.376944,,
2000-01-14,,,,,0.710343,,
2000-01-17,,,,,0.323897,,
2000-01-18,,,,,-0.186359,,
2000-01-19,,,,,-0.098221,,
2000-01-20,,,,,-0.393857,,
2000-01-21,,,,,0.393857,,
2000-01-24,,,,,0.431453,,
2000-01-25,,,,,0.205275,,
2000-01-26,,,,,0.029288,,
2000-01-27,,,,,0.710081,,
2000-01-28,,,,,1.261760,,
2000-01-31,,,,,0.620196,,
2000-02-01,,,,,-0.199952,,
2000-02-02,,,,,-0.123978,,
2000-02-03,,,,,-0.949236,,
2000-02-04,,,,,0.470949,,
2000-02-07,,,,,0.335039,,
2000-02-08,,,,,-0.402182,,
2000-02-09,,,,,-0.519483,,
2000-02-10,,,,,0.433086,,
2000-02-11,,,,,0.057608,,
2000-02-14,,,,,0.507396,,
2000-02-15,,,,,-0.028651,,
2000-02-16,,,,,-0.392404,,
2000-02-17,,,,,-0.009592,,
2000-02-18,,,,,0.344663,,
2000-02-21,,,,,-0.047794,,
2000-02-22,,,,,-1.250861,,
2000-02-23,,,,,0.241768,,
2000-02-24,,,,,0.462565,,
2000-02-25,,,,,1.194643,,
2000-02-28,,,,,0.009495,,
2000-02-29,,,,,0.615562,,
2000-03-01,,,,,-0.977190,,
2000-03-02,,,,,0.721959,,
2000-03-03,,,,,0.330733,,
2000-03-06,,,,,0.150833,,
2000-03-07,,,,,-0.065967,,
2000-03-08,,,,,-0.150925,,
2000-03-09,,,,,-0.530050,,
2000-03-10,,,,,0.322149,,
2000-03-13,,,,,-0.198853,,
2000-03-14,,,,,-0.189751,,
2000-03-15,,,,,0.075939,,
2000-03-16,,,,,-0.189967,,
2000-03-17,,,,,0.019010,,
2000-03-20,,,,,-0.047535,,
2000-03-21,,,,,0.625709,,
2000-03-22,,,,,0.217138,,
2000-03-23,,,,,-0.766793,,
2000-03-24,,,,,-0.438102,,
2000-03-27,,,,,0.646944,,
2000-03-28,,,,,0.075838,,
2000-03-29,,,,,0.679954,,
2000-03-30,,,,,-0.736825,,
2000-03-31,,,,,-0.028447,,
2000-04-03,,,,,0.094795,,
2000-04-04,,,,,-0.351197,,
2000-04-05,,,,,0.114039,,
2000-04-06,,,,,0.218202,,
2000-04-07,,,,,0.425556,,
2000-04-10,,,,,-0.274038,,
2000-04-11,,,,,0.245725,,
