date,cpi_index,ppi_index,cpi_yoy,ppi_yoy,cpi_vol,ppi_vol,w_cpi,w_ppi,inflation_factor,cpi_yoy_official,ppi_yoy_official
2008-01-31,107.078100,106.100000,7.078100,6.100000,,,,,,7.078100,6.070000
2008-02-29,108.744300,106.600000,8.744300,6.600000,,,,,,8.744300,6.620000
2008-03-31,108.309700,108.000000,8.309700,8.000000,,,,,,8.309700,7.950000
2008-04-30,108.482900,108.100000,8.482900,8.100000,,,,,,8.482900,8.120000
2008-05-31,107.716300,108.200000,7.716300,8.200000,,,,,,7.716300,8.220000
2008-06-30,107.084400,108.800000,7.084400,8.800000,,,,,,7.084400,8.840000
2008-07-31,106.302000,110.000000,6.302000,10.000000,,,,,,6.302000,10.030000
2008-08-31,104.900100,110.100000,4.900100,10.100000,,,,,,4.900100,10.060000
2008-09-30,104.642500,109.100000,4.642500,9.100000,,,,,,4.642500,9.130000
2008-10-31,103.974400,106.600000,3.974400,6.600000,,,,,,3.974400,6.590000
2008-11-30,102.434000,102.000000,2.434000,2.000000,,,,,,2.434000,1.990000
2008-12-31,101.199900,98.900000,1.199900,-1.100000,2.471900,3.323000,0.573400,0.426600,0.218800,1.199900,-1.140000
2009-01-31,100.950000,96.700000,0.950000,-3.300000,2.816600,4.441800,0.612000,0.388000,-0.699200,0.950000,-3.350000
2009-02-28,98.441800,95.500000,-1.558200,-4.500000,3.241100,5.382500,0.624200,0.375800,-2.663800,-1.558200,-4.470000
2009-03-31,98.828600,94.000000,-1.171400,-6.000000,3.389900,6.171900,0.645500,0.354500,-2.883200,-1.171400,-5.990000
2009-04-30,98.500000,93.400000,-1.500000,-6.600000,3.346500,6.718800,0.667500,0.332500,-3.195600,-1.500000,-6.600000
2009-05-31,98.628700,92.800000,-1.371300,-7.200000,3.185500,7.050900,0.688800,0.311200,-3.185100,-1.371300,-7.200000
2009-06-30,98.300000,92.200000,-1.700000,-7.800000,2.950900,7.114800,0.706800,0.293200,-3.488300,-1.700000,-7.800000
2009-07-31,98.194300,91.800000,-1.805700,-8.200000,2.645200,6.744800,0.718300,0.281700,-3.607000,-1.805700,-8.220000
2009-08-31,98.795700,92.100000,-1.204300,-7.900000,2.344300,5.901500,0.715700,0.284300,-3.107900,-1.204300,-7.860000
2009-09-30,99.211700,93.000000,-0.788300,-7.000000,1.899200,4.612700,0.708300,0.291700,-2.600000,-0.788300,-6.990000
2009-10-31,99.470000,94.200000,-0.530000,-5.800000,1.367300,3.103000,0.694100,0.305900,-2.141900,-0.530000,-5.850000
2009-11-30,100.560000,97.900000,0.560000,-2.100000,1.064300,2.366500,0.689800,0.310200,-0.265200,0.560000,-2.080000
2009-12-31,101.855900,101.700000,1.855900,1.700000,1.183400,2.925300,0.712000,0.288000,1.811000,1.855900,1.700000
2010-01-31,101.530000,104.300000,1.530000,4.300000,1.265400,4.032500,0.761200,0.238800,2.191600,1.530000,4.320000
2010-02-28,102.695300,105.400000,2.695300,5.400000,1.548900,4.989300,0.763100,0.236900,3.336000,2.695300,5.390000
2010-03-31,102.370700,105.900000,2.370700,5.900000,1.695400,5.676500,0.770000,0.230000,3.182400,2.370700,5.910000
2010-04-30,102.813600,106.800000,2.813600,6.800000,1.800300,6.186500,0.774600,0.225400,3.712200,2.813600,6.810000
2010-05-31,103.061300,107.100000,3.061300,7.100000,1.864400,6.429500,0.775200,0.224800,3.969200,3.061300,7.130000
2010-06-30,102.949900,106.400000,2.949900,6.400000,1.793400,6.296000,0.778300,0.221700,3.714800,2.949900,6.410000
2010-07-31,103.304200,104.800000,3.304200,4.800000,1.633700,5.748100,0.778700,0.221300,3.635200,3.304200,4.840000
2010-08-31,103.479400,104.300000,3.479400,4.300000,1.466300,4.929200,0.770700,0.229300,3.667500,3.479400,4.320000
2010-09-30,103.605600,104.300000,3.605600,4.300000,1.256100,3.887400,0.755800,0.244200,3.775200,3.605600,4.330000
2010-10-31,104.365500,105.000000,4.365500,5.000000,1.024200,2.527800,0.711700,0.288300,4.548500,4.365500,5.040000
2010-11-30,105.119200,106.100000,5.119200,6.100000,0.997000,1.471600,0.596100,0.403900,5.515300,5.119200,6.060000
2010-12-31,104.585900,105.900000,4.585900,5.900000,0.999800,0.991000,0.497800,0.502200,5.245900,4.585900,5.930000
2011-01-31,104.912100,106.600000,4.912100,6.600000,0.922000,0.954300,0.508600,0.491400,5.741500,4.912100,6.643600
2011-02-28,104.944300,107.200000,4.944300,7.200000,0.948400,1.037800,0.522500,0.477500,6.021400,4.944300,7.232200
2011-03-31,105.383000,107.300000,5.383000,7.300000,0.936400,1.117500,0.544100,0.455900,6.257000,5.383000,7.308100
2011-04-30,105.344200,106.800000,5.344200,6.800000,0.919000,1.117500,0.548700,0.451300,6.001100,5.344200,6.821000
2011-05-31,105.514600,106.800000,5.514600,6.800000,0.902100,1.093300,0.547900,0.452100,6.095700,5.514600,6.785100
2011-06-30,106.355300,107.100000,6.355300,7.100000,0.919700,1.136800,0.552800,0.447200,6.688300,6.355300,7.120900
2011-07-31,106.450800,107.500000,6.450800,7.500000,0.920800,1.141300,0.553500,0.446500,6.919300,6.450800,7.541700
2011-08-31,106.151400,107.300000,6.151400,7.300000,0.837700,0.996800,0.543400,0.456600,6.675900,6.151400,7.252800
2011-09-30,106.067100,106.500000,6.067100,6.500000,0.693300,0.721300,0.509900,0.490100,6.279300,6.067100,6.522700
2011-10-31,105.495400,105.000000,5.495400,5.000000,0.606500,0.721300,0.543200,0.456800,5.269100,5.495400,5.003800
2011-11-30,104.224600,102.700000,4.224600,2.700000,0.707700,1.356100,0.657100,0.342900,3.701800,4.224600,2.717900
2011-12-31,104.070400,101.700000,4.070400,1.700000,0.777300,1.919500,0.711800,0.288200,3.387200,4.070400,1.685400
2012-01-31,104.548500,100.700000,4.548500,0.700000,0.805000,2.446700,0.752400,0.247600,3.595700,4.548500,0.734700
2012-02-29,103.161300,100.000000,3.161300,0.000000,1.026600,2.854200,0.735500,0.264500,2.325000,3.161300,0.028400
2012-03-31,103.585600,99.700000,3.585600,-0.300000,1.128400,3.116500,0.734200,0.265800,2.552700,3.585600,-0.317100
2012-04-30,103.365300,99.300000,3.365300,-0.700000,1.226800,3.318700,0.730100,0.269900,2.268100,3.365300,-0.698400
2012-05-31,103.000800,98.600000,3.000800,-1.400000,1.325800,3.461600,0.723100,0.276900,1.782000,3.000800,-1.398100
2012-06-30,102.150400,97.900000,2.150400,-2.100000,1.403800,3.491700,0.713200,0.286800,0.931600,2.150400,-2.084300
2012-07-31,101.800000,97.100000,1.800000,-2.900000,1.414800,3.355900,0.703400,0.296600,0.406100,1.800000,-2.865100
2012-08-31,102.000000,96.500000,2.000000,-3.500000,1.338000,3.057400,0.695600,0.304400,0.325800,2.000000,-3.478400
2012-09-30,101.900000,96.400000,1.900000,-3.600000,1.176900,2.604700,0.688800,0.311200,0.188300,1.900000,-3.554500
2012-10-31,101.700000,97.200000,1.700000,-2.800000,1.026300,2.059900,0.667400,0.332600,0.203500,1.700000,-2.755800
2012-11-30,102.000000,97.800000,2.000000,-2.200000,0.976700,1.712600,0.636800,0.363200,0.474700,2.000000,-2.199500
2012-12-31,102.500000,98.060300,2.500000,-1.939700,0.888300,1.403200,0.612300,0.387700,0.778900,2.500000,-1.939700
2013-01-31,102.000000,98.362800,2.000000,-1.637200,0.668700,1.179900,0.638300,0.361700,0.684300,2.000000,-1.637200
2013-02-28,103.200000,98.374600,3.200000,-1.625400,0.672700,1.021800,0.603000,0.397000,1.284400,3.200000,-1.625400
2013-03-31,102.100000,98.081000,2.100000,-1.919000,0.570300,0.863000,0.602100,0.397900,0.501000,2.100000,-1.919000
