日期,yield_10y
2015-01-04,3.628500
2015-01-05,3.625100
2015-01-06,3.635300
2015-01-07,3.640800
2015-01-08,3.641500
2015-01-09,3.634800
2015-01-12,3.637100
2015-01-13,3.583600
2015-01-14,3.541100
2015-01-15,3.546400
2015-01-16,3.501700
2015-01-19,3.475000
2015-01-20,3.471100
2015-01-21,3.467200
2015-01-22,3.452100
2015-01-23,3.452000
2015-01-26,3.434100
2015-01-27,3.430900
2015-01-28,3.476700
2015-01-29,3.496600
2015-01-30,3.501900
2015-02-02,3.472900
2015-02-03,3.453300
2015-02-04,3.458900
2015-02-05,3.401800
2015-02-06,3.432500
2015-02-09,3.423600
2015-02-10,3.429900
2015-02-11,3.395500
2015-02-12,3.386500
2015-02-13,3.355200
2015-02-15,3.362500
2015-02-16,3.337400
2015-02-17,3.337300
2015-02-25,3.349000
2015-02-26,3.359400
2015-02-27,3.374500
2015-02-28,3.360200
2015-03-02,3.388300
2015-03-03,3.402200
2015-03-04,3.386900
2015-03-05,3.436900
2015-03-06,3.475300
2015-03-09,3.492200
2015-03-10,3.522800
2015-03-11,3.446600
2015-03-12,3.441200
2015-03-13,3.487900
2015-03-16,3.530100
2015-03-17,3.542800
2015-03-18,3.551900
2015-03-19,3.534800
2015-03-20,3.495800
2015-03-23,3.493300
2015-03-24,3.484100
2015-03-25,3.503700
2015-03-26,3.544000
2015-03-27,3.567800
2015-03-30,3.584900
2015-03-31,3.648300
2015-04-01,3.599700
2015-04-02,3.543800
2015-04-03,3.572000
2015-04-07,3.598700
2015-04-08,3.693800
2015-04-09,3.704000
2015-04-10,3.694700
2015-04-13,3.668500
2015-04-14,3.621100
2015-04-15,3.595400
2015-04-16,3.560000
2015-04-17,3.562700
2015-04-20,3.455400
2015-04-21,3.405500
2015-04-22,3.405200
2015-04-23,3.415100
2015-04-24,3.445400
2015-04-27,3.395200
2015-04-28,3.380400
2015-04-29,3.400000
2015-04-30,3.350300
2015-05-04,3.380400
2015-05-05,3.400600
2015-05-06,3.456000
2015-05-07,3.440100
2015-05-08,3.370300
2015-05-11,3.375200
2015-05-12,3.400200
2015-05-13,3.400200
2015-05-14,3.380300
2015-05-15,3.390700
2015-05-18,3.410900
2015-05-19,3.431100
2015-05-20,3.428200
2015-05-21,3.425700
2015-05-22,3.416000
2015-05-25,3.431000
2015-05-26,3.521400
2015-05-27,3.505500
2015-05-28,3.565200
2015-05-29,3.595400
2015-06-01,3.640400
2015-06-02,3.588000
2015-06-03,3.611100
2015-06-04,3.591200
2015-06-05,3.581400
2015-06-08,3.561300
2015-06-09,3.556500
2015-06-10,3.591200
2015-06-11,3.619700
2015-06-12,3.622600
2015-06-15,3.668100
2015-06-16,3.609900
2015-06-17,3.605200
2015-06-18,3.573000
2015-06-19,3.582500
2015-06-23,3.605400
2015-06-24,3.607900
2015-06-25,3.602800
2015-06-26,3.608000
2015-06-29,3.603000
2015-06-30,3.597600
2015-07-01,3.612700
2015-07-02,3.622300
2015-07-03,3.571900
2015-07-06,3.491700
2015-07-07,3.436100
2015-07-08,3.430700
2015-07-09,3.435800
2015-07-10,3.488500
2015-07-13,3.501400
2015-07-14,3.534100
2015-07-15,3.549500
2015-07-16,3.520800
2015-07-17,3.512300
2015-07-20,3.500900
2015-07-21,3.521400
2015-07-22,3.514500
2015-07-23,3.475100
2015-07-24,3.460200
2015-07-27,3.460200
2015-07-28,3.440100
2015-07-29,3.430200
2015-07-30,3.440200
2015-07-31,3.475200
2015-08-03,3.470000
2015-08-04,3.470000
2015-08-05,3.470100
2015-08-06,3.460000
2015-08-07,3.455300
2015-08-10,3.475500
2015-08-11,3.525600
2015-08-12,3.540200
2015-08-13,3.515300
2015-08-14,3.505200
2015-08-17,3.517600
2015-08-18,3.512600
2015-08-19,3.520100
2015-08-20,3.505100
2015-08-21,3.495100
2015-08-24,3.470100
2015-08-25,3.457700
