ym,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子
2021-01,47.151911,0.000000,3.178600,1.198600,90.538200,88.160007
2021-02,47.151911,0.750000,3.279800,1.179100,90.939900,98.211800
2021-03,32.909860,2.400000,3.188700,1.122100,93.183900,97.904808
2021-04,23.110543,3.850000,3.164000,1.079800,91.298500,99.951614
2021-05,19.731720,5.150000,3.045000,0.952600,89.846700,101.538902
2021-06,17.756570,2.303279,3.077800,1.009600,92.367100,109.449882
2021-07,12.535979,2.201199,2.836300,0.997300,92.103200,111.142129
2021-08,10.092913,2.034425,2.845000,1.029400,92.654000,107.278772
2021-09,9.307310,2.014139,2.877600,1.125900,94.263800,115.243018
2021-10,9.683561,3.020387,2.973200,1.034800,94.140800,120.730831
2021-11,9.718509,3.874309,2.825000,1.098600,95.897000,104.527043
2021-12,6.819931,2.827184,2.775400,1.089700,95.970100,113.188399
2022-01,1.849130,2.200755,2.699700,0.980400,96.636900,128.881638
2022-02,3.124234,2.235757,2.775000,0.924200,96.706300,139.648053
2022-03,-0.887840,2.804446,2.787800,0.988900,98.361800,150.177247
2022-04,-4.288693,3.423744,2.838600,0.770000,103.217300,150.406209
2022-05,-1.047705,3.034462,2.742600,0.685000,101.767900,168.732076
2022-06,1.567690,3.296366,2.820500,0.695200,104.705700,157.156136
2022-07,1.171605,3.010701,2.756000,0.657100,105.836100,151.472278
2022-08,1.603061,2.465263,2.622500,0.632600,108.679600,139.060911
2022-09,1.523847,2.519820,2.760100,0.626400,112.151100,125.255441
2022-10,0.114401,1.637026,2.643300,0.621600,111.603600,135.576817
2022-11,-3.428311,1.202957,2.885000,0.952500,105.976500,127.308412
2022-12,-3.055378,1.461505,2.835300,1.460800,103.489500,126.668079
2023-01,-0.294677,1.752402,2.897700,1.269300,102.103700,126.509471
2023-02,2.706716,0.710302,2.901700,0.985600,104.986800,124.137419
2023-03,4.816390,0.218885,2.852800,0.981000,102.597000,121.192298
2023-04,5.809704,-0.648126,2.778800,0.933100,101.664500,122.968853
2023-05,2.268511,-0.928349,2.685000,1.009300,104.220800,111.270093
2023-06,-0.686708,-1.475646,2.635100,1.045800,103.378800,118.365989
2023-07,-0.355910,-1.601554,2.659700,0.980300,101.878400,133.010502
2023-08,0.704997,-0.993619,2.557500,0.822600,103.627900,134.234131
2023-09,0.941807,-0.902009,2.675100,0.929700,106.191900,141.126271
2023-10,2.058907,-1.045131,2.693800,0.868900,106.722700,133.266306
2023-11,3.506154,-1.398675,2.668000,0.692600,103.506400,127.371756
2023-12,3.316914,-1.154095,2.555300,0.750800,101.377800,122.635329
2024-01,2.246473,-1.318698,2.433000,0.536600,103.523500,129.104478
2024-02,-0.481900,-0.350771,2.337500,0.508900,104.135900,130.707841
2024-03,-0.077803,-0.719836,2.290100,0.568700,104.507000,138.062372
2024-04,2.052394,-0.496807,2.302800,0.459700,106.336900,136.543479
2024-05,2.086990,-0.180682,2.292600,0.330400,104.631800,133.515427
2024-06,1.355676,-0.119030,2.205800,0.346400,105.842700,141.633254
2024-07,1.681737,0.049465,2.149400,0.304500,104.057400,138.229787
2024-08,0.856371,-0.286942,2.170400,0.428000,101.732000,133.802787
2024-09,0.920372,-0.781225,2.151800,0.666900,100.760400,127.114257
2024-10,2.302139,-0.851747,2.147600,0.733900,103.893900,129.775928
2024-11,1.622686,-0.726757,2.020600,0.589700,105.776100,128.156585
2024-12,2.372769,-0.693577,1.675200,0.636600,108.481600,134.705138
2025-01,0.838296,-0.068157,1.629900,0.609100,108.516000,138.460477
2025-02,1.828761,-1.167343,1.715200,0.600300,107.564400,134.807332
2025-03,1.982073,-0.881531,1.812900,0.486200,104.192100,137.960633
2025-04,1.126962,-0.953086,1.624300,0.562600,99.640300,122.406760
2025-05,1.903504,-1.122858,1.671200,0.474900,99.439300,127.925869
2025-06,1.854340,-1.141525,1.646900,0.463200,96.772300,137.353812
2025-07,1.551323,-1.370998,1.704400,0.449900,100.048900,152.384317
2025-08,1.353491,-1.420419,1.837900,0.402500,97.847700,145.441746
2025-09,1.551563,-1.078497,1.860500,0.417300,97.822400,142.532266
2025-10,-0.015772,-0.648549,1.795400,0.367100,99.730800,142.301860
2025-11,-0.058176,-0.474516,1.841200,0.381300,99.439100,142.412199
2025-12,0.631363,-0.359821,1.847300,0.454100,98.269600,147.007198
2026-01,2.277829,-0.411915,1.811200,0.343200,97.115200,163.667603
2026-02,2.938029,0.475453,1.775300,0.347400,97.644300,172.129694
2026-03,2.089676,0.843858,1.817100,0.366800,99.881700,216.422518
2026-04,2.742703,1.583873,1.747300,0.329100,98.099700,240.836112
2026-05,2.300840,1.745886,1.709000,0.348700,98.925900,217.409818
2026-06,3.494445,1.571858,1.733000,0.309000,101.186100,180.526527
2026-07,3.843776,1.027675,1.714100,0.297700,99.784900,204.188537
2026-08,,,1.716100,0.290700,99.811200,197.440588
