week,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子
2021-01-01,14.797590,-15.656496,-118.096300,1.019434,89.940002,83.971399
2021-01-08,,-13.383757,-118.147200,0.985991,90.065100,90.255799
2021-01-15,,,-118.143600,0.981085,90.790000,87.954161
2021-01-22,,,-118.320900,0.993606,90.211200,88.413732
2021-01-29,,,-117.904600,0.981293,90.538200,87.976583
2021-02-05,,,-117.679300,0.966502,90.992100,93.066442
2021-02-12,,,-117.659700,0.973743,90.444300,96.668084
2021-02-19,,,-117.567100,0.970018,90.339800,95.550183
2021-02-26,,,-117.433800,0.976857,90.939900,98.329715
2021-03-05,,,-117.675400,0.971993,91.997000,104.699279
2021-03-12,,,-117.672300,0.968785,91.667600,105.800614
2021-03-19,,,-117.836700,0.973538,91.949300,99.216206
2021-03-26,,,-118.043700,0.978319,92.725200,99.500127
2021-04-02,,,-118.066100,0.983562,92.997700,98.414556
2021-04-09,,-12.700247,-118.011600,0.985138,92.176600,96.542555
2021-04-16,16.476393,-15.232303,-118.453800,0.995199,91.536300,101.530259
2021-04-23,23.241457,-17.173304,-118.576500,0.998203,90.829500,100.681684
2021-04-30,31.114055,-17.851882,-118.553100,0.992795,91.298500,99.951614
2021-05-07,34.518721,-18.668355,-118.638500,0.992471,90.239500,103.171596
2021-05-14,32.153362,-18.900736,-118.784300,0.986061,90.309400,102.455162
2021-05-21,27.863256,-20.809656,-119.141100,0.998664,90.043200,99.414181
2021-05-28,31.634584,-20.095609,-119.042700,0.983181,90.054700,101.377792
2021-06-04,30.596809,-21.138212,-118.866900,0.981576,90.139300,105.606394
2021-06-11,29.765222,-11.688483,-118.532600,0.975005,90.509300,107.008595
2021-06-18,26.494632,-13.909032,-118.423800,0.974565,92.321700,107.564567
2021-06-25,39.098004,-9.849759,-118.745300,0.989929,91.805700,110.024867
2021-07-02,37.674285,-5.963585,-118.725600,0.988610,92.245200,111.435855
2021-07-09,40.643633,15.833774,-119.353900,0.995062,92.101200,110.872162
2021-07-16,37.475721,21.669524,-119.798700,0.992705,92.714300,108.670379
2021-07-23,36.588281,23.949506,-120.125600,1.003353,92.908400,109.276309
2021-07-30,36.531009,31.359487,-120.540100,1.011472,92.103200,110.539453
2021-08-06,32.438123,25.295160,-120.798800,1.006679,92.782400,105.693145
2021-08-13,34.489716,20.307597,-120.306800,0.991433,92.522600,106.240697
2021-08-20,31.039087,29.844274,-120.571200,1.001814,93.457100,99.784640
2021-08-27,31.466640,37.508983,-120.422600,1.000233,92.700700,108.043514
2021-09-03,32.866279,27.337450,-120.669300,1.009729,92.133100,108.842880
2021-09-10,31.775774,19.462096,-120.431200,1.003621,92.639800,108.855025
