date,hf_mom_pct,hf_mobility_factor,hf_yoy
2014-10-17,0.000000,100.000000,
2014-10-20,-0.173544,99.826456,
2014-10-21,0.186396,100.012528,
2014-10-22,-0.221057,99.791444,
2014-10-23,-0.115503,99.676182,
2014-10-24,0.253823,99.929183,
2014-10-27,0.744288,100.672944,
2014-10-28,-0.206451,100.465103,
2014-10-29,-0.269683,100.194166,
2014-10-30,-0.530062,99.663075,
2014-10-31,-0.685504,98.979881,
2014-11-03,0.508867,99.483557,
2014-11-04,-0.339569,99.145742,
2014-11-05,0.362983,99.505624,
2014-11-06,0.408154,99.911760,
2014-11-07,-0.060778,99.851036,
2014-11-10,-1.472927,98.380303,
2014-11-11,-1.863971,96.546522,
2014-11-12,0.254519,96.792252,
2014-11-13,-0.456434,96.350459,
2014-11-14,-0.169847,96.186810,
2014-11-17,1.086951,97.232313,
2014-11-18,0.971534,98.176959,
2014-11-19,0.457435,98.626054,
2014-11-20,-0.081967,98.545213,
2014-11-21,-0.641240,97.913302,
2014-11-24,-0.958374,96.974926,
2014-11-25,-0.237672,96.744444,
2014-11-26,-0.766590,96.002811,
2014-11-27,-0.522177,95.501506,
2014-11-28,-1.779793,93.801777,
2014-12-01,-0.802787,93.048748,
2014-12-02,-2.120299,91.075837,
2014-12-03,0.080245,91.148920,
2014-12-04,-2.647130,88.736090,
2014-12-05,-2.396550,86.609485,
2014-12-08,-2.098340,84.792124,
2014-12-09,2.136341,86.603573,
2014-12-10,-0.541152,86.134916,
2014-12-11,1.433108,87.369323,
2014-12-12,0.250153,87.587880,
2014-12-15,-2.289500,85.582555,
2014-12-16,-2.053198,83.825376,
2014-12-17,-1.754792,82.354415,
2014-12-18,0.250829,82.560984,
2014-12-19,-1.846122,81.036807,
2014-12-22,-3.246059,78.406304,
2014-12-23,1.452145,79.544878,
2014-12-24,2.821097,81.788916,
2014-12-25,-1.935296,80.206058,
2014-12-26,-1.966008,78.629200,
2014-12-29,-1.155895,77.720329,
2014-12-30,-0.996750,76.945651,
2014-12-31,-1.237404,75.993523,
2015-01-05,-2.406896,74.164438,
2015-01-06,0.747427,74.718763,
2015-01-07,-0.341732,74.463425,
2015-01-08,1.742754,75.761139,
2015-01-09,-0.187724,75.618918,
2015-01-12,0.535020,76.023494,
2015-01-13,0.659173,76.524620,
2015-01-14,-0.032824,76.499502,
2015-01-15,-2.256637,74.773185,
