date,申万大盘市盈率,申万小盘市盈率
2014-10-17,8.690000,49.190000
2014-10-20,8.730000,49.350000
2014-10-21,8.670000,49.010000
2014-10-22,8.640000,48.420000
2014-10-23,8.560000,47.490000
2014-10-24,8.530000,47.530000
2014-10-27,8.450000,47.720000
2014-10-28,8.590000,48.830000
2014-10-29,8.670000,49.260000
2014-10-30,8.710000,48.940000
2014-10-31,8.790000,48.800000
2014-11-03,8.770000,49.290000
2014-11-04,8.780000,48.930000
2014-11-05,8.730000,48.930000
2014-11-06,8.740000,49.580000
2014-11-07,8.720000,49.300000
2014-11-10,8.940000,49.450000
2014-11-11,9.020000,47.720000
2014-11-12,9.070000,48.520000
2014-11-13,9.040000,47.640000
2014-11-14,9.050000,47.510000
2014-11-17,8.980000,48.290000
2014-11-18,8.870000,48.540000
2014-11-19,8.850000,48.960000
2014-11-20,8.850000,48.850000
2014-11-21,8.990000,49.330000
2014-11-24,9.170000,49.740000
2014-11-25,9.290000,50.550000
2014-11-26,9.440000,50.900000
2014-11-27,9.550000,51.200000
2014-11-28,9.830000,51.280000
2014-12-01,9.860000,50.430000
2014-12-02,10.250000,50.910000
2014-12-03,10.290000,51.370000
2014-12-04,10.810000,52.060000
2014-12-05,11.100000,51.050000
2014-12-08,11.470000,51.030000
2014-12-09,10.790000,48.640000
2014-12-10,11.100000,50.350000
2014-12-11,10.940000,51.060000
2014-12-12,10.980000,51.740000
2014-12-15,11.200000,50.300000
2014-12-16,11.540000,50.090000
2014-12-17,11.780000,49.480000
2014-12-18,11.720000,49.380000
2014-12-19,11.960000,48.630000
2014-12-22,12.210000,46.120000
2014-12-23,11.830000,45.420000
2014-12-24,11.460000,46.430000
2014-12-25,11.890000,46.950000
2014-12-26,12.280000,47.060000
2014-12-29,12.360000,46.110000
2014-12-30,12.430000,45.310000
2014-12-31,12.740000,45.720000
2015-01-05,13.240000,45.770000
2015-01-06,13.250000,46.780000
2015-01-07,13.310000,46.710000
2015-01-08,12.950000,46.710000
2015-01-09,12.950000,46.470000
2015-01-12,12.770000,46.020000
2015-01-13,12.770000,46.860000
2015-01-14,12.750000,46.690000
2015-01-15,13.240000,46.870000
2015-01-16,13.390000,47.560000
2015-01-19,12.270000,46.580000
2015-01-20,12.430000,48.350000
2015-01-21,13.080000,49.330000
2015-01-22,13.110000,50.030000
2015-01-23,13.140000,49.440000
2015-01-26,13.160000,50.530000
2015-01-27,13.100000,51.070000
2015-01-28,12.860000,50.830000
2015-01-29,12.660000,50.720000
2015-01-30,12.460000,50.060000
2015-02-02,12.090000,49.990000
2015-02-03,12.420000,50.980000
2015-02-04,12.270000,51.010000
2015-02-05,12.120000,51.040000
2015-02-06,11.890000,50.120000
2015-02-09,12.000000,49.720000
2015-02-10,12.210000,50.530000
2015-02-11,12.290000,51.240000
2015-02-12,12.330000,51.620000
2015-02-13,12.440000,52.420000
2015-02-16,12.500000,53.450000
2015-02-17,12.600000,53.790000
2015-02-25,12.490000,53.660000
2015-02-26,12.790000,53.910000
2015-02-27,12.810000,54.550000
2015-03-02,12.910000,55.490000
2015-03-03,12.540000,55.170000
2015-03-04,12.590000,56.020000
2015-03-05,12.420000,56.200000
2015-03-06,12.390000,55.220000
2015-03-09,12.660000,56.130000
2015-03-10,12.540000,57.100000
2015-03-11,12.570000,57.060000
2015-03-12,12.860000,56.750000
2015-03-13,12.910000,57.830000
2015-03-16,13.180000,59.960000
2015-03-17,13.360000,60.980000
2015-03-18,13.660000,62.210000
2015-03-19,13.620000,62.620000
2015-03-20,13.750000,63.300000
2015-03-23,14.090000,65.020000
2015-03-24,14.100000,66.150000
2015-03-25,13.910000,67.330000
2015-03-26,14.010000,66.090000
2015-03-27,14.200000,66.720000
2015-03-30,14.620000,66.730000
2015-03-31,14.460000,67.280000
2015-04-01,14.680000,69.190000
2015-04-02,14.670000,71.070000
2015-04-03,14.750000,72.670000
2015-04-07,15.120000,74.070000
2015-04-08,15.300000,72.880000
2015-04-09,15.150000,72.310000
2015-04-10,15.440000,74.140000
2015-04-13,15.770000,75.860000
2015-04-14,15.790000,76.000000
2015-04-15,15.690000,72.920000
2015-04-16,16.170000,73.780000
2015-04-17,16.500000,73.780000
2015-04-20,16.170000,73.040000
2015-04-21,16.420000,76.180000
2015-04-22,16.750000,78.510000
2015-04-23,16.720000,79.760000
2015-04-24,16.570000,79.700000
2015-04-27,17.130000,79.970000
2015-04-28,17.170000,76.390000
2015-04-29,16.970000,77.580000
2015-04-30,16.580000,77.610000
2015-05-04,16.710000,78.160000
2015-05-05,16.030000,76.000000
2015-05-06,15.830000,75.920000
2015-05-07,15.460000,74.940000
2015-05-08,15.770000,78.700000
2015-05-11,16.170000,82.340000
2015-05-12,16.340000,84.660000
2015-05-13,16.210000,85.250000
2015-05-14,16.150000,85.650000
2015-05-15,15.840000,85.730000
2015-05-18,15.650000,88.300000
2015-05-19,16.160000,90.590000
2015-05-20,16.220000,92.930000
2015-05-21,16.330000,96.500000
2015-05-22,16.760000,97.160000
2015-05-25,17.270000,98.230000
2015-05-26,17.520000,102.090000
2015-05-27,17.490000,103.420000
2015-05-28,16.360000,97.720000
2015-05-29,16.340000,99.360000
2015-06-01,17.160000,104.430000
2015-06-02,17.360000,108.850000
2015-06-03,17.300000,109.420000
2015-06-04,17.530000,108.870000
2015-06-05,17.710000,110.220000
2015-06-08,18.490000,107.170000
2015-06-09,18.370000,107.320000
2015-06-10,18.230000,110.080000
