,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,asset_return,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor,macro_factor
,上证50,沪深300,中证500,中证1000,恒生指数,中债国债,中债企业债,中证转债,布伦特原油,沪金,标普500,美元兑人民币,中际旭创(300308),新易盛(300502),增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2021-07-23,-0.370203,-0.108886,0.871650,2.073264,-2.468013,0.330310,0.214080,1.395372,1.206876,-0.911132,1.936907,-0.085037,5.121457,10.808821,1.413444,2.015724,-0.272503,1.071305,0.209134,2.665038,0.751185
2021-07-30,-6.924715,-5.618599,-3.176779,-1.603724,-5.109494,0.401096,0.149120,-0.887679,1.378779,1.178155,-0.375382,-0.074274,21.458044,15.165802,0.995032,2.268545,-0.344463,0.824911,-0.870437,2.502053,2.737499
2021-08-06,1.987119,2.268631,2.503408,2.981534,0.837627,0.272240,0.211941,1.255954,-6.494630,-1.740550,0.934360,0.035596,-2.201691,-4.399205,-1.844432,-0.457229,-0.214388,-0.465390,0.734728,-12.358193,-0.659640
2021-08-13,0.690437,0.494920,2.138980,2.112512,0.807369,-0.343128,0.077556,1.107800,-0.341055,-2.113152,0.707060,0.268884,-3.165086,-12.224491,0.817507,-5.823900,0.408121,-1.513723,-0.280403,-0.096354,0.849395
2021-08-20,-4.613488,-3.638292,-2.410908,-2.310680,-6.020005,0.277646,0.147982,-1.097686,-7.767304,2.006684,-0.591045,0.285091,-7.147862,-2.273465,-3.712505,-1.102574,-0.219530,1.049439,1.004957,-16.543641,1.638799
2021-08-27,1.623538,1.204133,3.689518,2.808805,2.221327,-0.061491,0.013557,1.806001,9.768497,0.605354,1.512702,-0.186373,-3.899503,-4.506316,4.211208,2.109521,0.123323,-0.151002,-0.812648,18.907098,0.429921
2021-09-03,1.677471,0.331312,1.363511,-0.643161,1.926004,0.262669,0.099167,2.170006,1.123841,0.200973,0.576244,-0.441904,2.238593,-2.797060,0.392426,-1.360584,-0.204653,0.947269,-0.614175,2.159891,0.613351
2021-09-10,2.378553,3.459139,4.420794,3.878920,1.166516,-0.134860,0.021452,2.082974,0.646362,-0.806328,-1.708957,-0.017035,-3.911872,7.334032,0.683895,-2.738863,0.197511,-0.605726,0.548458,1.539801,-0.251908
2021-09-17,-2.818990,-3.193590,-2.827716,-2.584948,-5.028377,-0.010321,0.020865,-2.644699,3.422593,-2.055604,-0.575603,-0.060422,-2.588351,-14.912785,-3.465760,-3.553100,0.071518,-0.080951,0.663276,6.377166,0.886182
2021-09-24,-0.533060,-0.134204,-0.205472,-0.448680,-2.967258,0.159805,0.039244,0.198136,2.239925,-0.294022,0.506050,0.111519,-0.142340,-0.955039,1.082141,3.745472,-0.100659,0.560483,0.015762,3.701975,0.022466
