date,恒生指数,CAD,申万房地产,南华沪铜
2016-08-03,21739.119000,4868.500000,4571.260000,
2016-08-04,21832.230000,4832.000000,4659.710000,
2016-08-05,22146.090000,4796.000000,4705.730000,
2016-08-08,22494.760000,4809.000000,4797.870000,
2016-08-09,22465.609000,4776.500000,4810.540000,
2016-08-10,22492.430000,4822.000000,4745.500000,
2016-08-11,22580.551000,4848.000000,4683.280000,
2016-08-12,22766.910000,4752.000000,4901.660000,
2016-08-15,22932.510000,4772.000000,5124.580000,
2016-08-16,22910.840000,4813.000000,5171.500000,
2016-08-17,22799.779000,4775.000000,5101.060000,
2016-08-18,23023.160000,4809.000000,5187.990000,
2016-08-19,22937.221000,4808.000000,5132.740000,
2016-08-22,22997.910000,4758.000000,5100.840000,
2016-08-23,22998.930000,4706.000000,5074.420000,
2016-08-24,22820.779000,4629.000000,5036.800000,
2016-08-25,22826.869000,4627.000000,4950.090000,
2016-08-26,22909.539000,4620.500000,4930.460000,
2016-08-29,22821.340000,4620.500000,4957.100000,
2016-08-30,23016.109000,4609.000000,4932.510000,
2016-08-31,22976.881000,4618.000000,5042.120000,
2016-09-01,23162.340000,4625.000000,4911.130000,
2016-09-02,23266.699000,4615.000000,4918.510000,
2016-09-05,23649.551000,4626.500000,4913.880000,
2016-09-06,23787.680000,4636.000000,4941.790000,
2016-09-07,23741.811000,4651.000000,4939.170000,
2016-09-08,23919.340000,4664.500000,4954.490000,
2016-09-09,24099.699000,4630.500000,4906.940000,
2016-09-12,23290.600000,4659.000000,4848.410000,
2016-09-13,23215.760000,4662.500000,4876.450000,
2016-09-14,23190.641000,4772.000000,4866.590000,
2016-09-15,23335.590000,4780.000000,4866.590000,
2016-09-16,23335.590000,4777.000000,4866.590000,
2016-09-19,23550.449000,4767.500000,4901.830000,
2016-09-20,23530.859000,4781.000000,4912.140000,
2016-09-21,23669.900000,4767.000000,4952.320000,
2016-09-22,23759.801000,4845.000000,5074.650000,
2016-09-23,23686.480000,4856.000000,4992.130000,
2016-09-26,23317.920000,4844.500000,4902.080000,
2016-09-27,23571.900000,4797.000000,4990.760000,
2016-09-28,23619.650000,4830.000000,4983.210000,
2016-09-29,23739.471000,4825.000000,4999.650000,
2016-09-30,23297.150000,4877.500000,5025.190000,
2016-10-03,23584.430000,4833.500000,5025.190000,
2016-10-04,23689.439000,4790.000000,5025.190000,
2016-10-05,23788.311000,4797.000000,5025.190000,
2016-10-06,23952.500000,4760.000000,5025.190000,
2016-10-07,23851.820000,4790.000000,5025.190000,
2016-10-10,23851.820000,4844.000000,4956.560000,
2016-10-11,23549.520000,4825.000000,4996.910000,
2016-10-12,23407.051000,4808.000000,5008.860000,
2016-10-13,23031.301000,4715.000000,5021.670000,
2016-10-14,23233.311000,4675.500000,5017.120000,
2016-10-17,23037.539000,4674.000000,4959.980000,
2016-10-18,23394.391000,4675.000000,5004.970000,
2016-10-19,23304.971000,4670.500000,4998.020000,
2016-10-20,23374.400000,4652.000000,5009.600000,
2016-10-21,23374.400000,4644.000000,4982.020000,
2016-10-24,23604.080000,4643.500000,5016.270000,
2016-10-25,23565.109000,4738.000000,5034.440000,
2016-10-26,23325.430000,4756.500000,5054.100000,
2016-10-27,23132.350000,4788.000000,5037.780000,
2016-10-28,22954.811000,4845.500000,4999.360000,
2016-10-31,22934.539000,4861.000000,5006.340000,
2016-11-01,23147.070000,4918.500000,5061.020000,
2016-11-02,22810.500000,4899.000000,5011.380000,
2016-11-03,22683.510000,4956.000000,5030.690000,
2016-11-04,22642.619000,4985.000000,5009.470000,
2016-11-07,22801.400000,5100.000000,4988.860000,
2016-11-08,22909.471000,5247.500000,5015.260000,
2016-11-09,22415.189000,5420.500000,5048.610000,
2016-11-10,22839.109000,5617.000000,5108.470000,
2016-11-11,22531.090000,5559.000000,5110.980000,
2016-11-14,22222.221000,5564.000000,5108.350000,
2016-11-15,22323.910000,5522.500000,5164.240000,
2016-11-16,22280.529000,5451.000000,5162.310000,
2016-11-17,22262.881000,5476.000000,5168.350000,
2016-11-18,22344.211000,5435.000000,5180.540000,
2016-11-21,22357.779000,5559.000000,5189.370000,
2016-11-22,22678.070000,5612.000000,5213.990000,
2016-11-23,22676.689000,5768.000000,5259.440000,
2016-11-24,22608.490000,5863.000000,5275.800000,
2016-11-25,22723.449000,5919.000000,5319.910000,
2016-11-28,22830.570000,5874.500000,5290.310000,
2016-11-29,22737.070000,5739.500000,5226.300000,
2016-11-30,22789.770000,5795.000000,5230.680000,
2016-12-01,22878.230000,5795.000000,5320.530000,
2016-12-02,22564.820000,5789.000000,5249.570000,
2016-12-05,22505.551000,5927.500000,5127.820000,
2016-12-06,22675.150000,5872.500000,5117.920000,
2016-12-07,22800.920000,5830.000000,5150.350000,
2016-12-08,22861.840000,5780.000000,5117.310000,
2016-12-09,22760.980000,5830.000000,5143.650000,
2016-12-12,22433.020000,5760.000000,4964.500000,
2016-12-13,22446.699000,5720.500000,4980.740000,
2016-12-14,22456.619000,5746.000000,4946.550000,
2016-12-15,22059.400000,5725.000000,4963.460000,
2016-12-16,22020.750000,5640.000000,4996.700000,
2016-12-19,21832.680000,5505.000000,4958.160000,
2016-12-20,21729.061000,5515.000000,4919.500000,
2016-12-21,21809.801000,5505.000000,4935.030000,
2016-12-22,21636.199000,5529.000000,4934.730000,
2016-12-23,21574.760000,5469.500000,4878.600000,
2016-12-26,21574.760000,5469.500000,4886.160000,
2016-12-27,21574.760000,5469.500000,4913.340000,
2016-12-28,21754.740000,5515.500000,4885.890000,
2016-12-29,21790.910000,5495.000000,4866.460000,
2016-12-30,22000.561000,5516.000000,4871.190000,
2017-01-03,22150.400000,5481.500000,4909.340000,
2017-01-04,22134.471000,5635.000000,4939.610000,
2017-01-05,22456.689000,5582.500000,4931.600000,
2017-01-06,22503.010000,5595.000000,4913.590000,
2017-01-09,22558.689000,5590.000000,4928.250000,
2017-01-10,22744.850000,5745.000000,4917.700000,
2017-01-11,22935.350000,5723.000000,4870.240000,
2017-01-12,22829.020000,5876.000000,4845.100000,
2017-01-13,22937.381000,5910.000000,4836.630000,
2017-01-16,22718.150000,5843.000000,4736.180000,
2017-01-17,22840.971000,5776.500000,4740.030000,
2017-01-18,23098.260000,5759.000000,4758.580000,
2017-01-19,23049.961000,5740.000000,4734.290000,
2017-01-20,22885.910000,5757.500000,4774.580000,
2017-01-23,22898.520000,5810.000000,4802.030000,
2017-01-24,22949.859000,5945.500000,4788.370000,
2017-01-25,23049.119000,5945.000000,4793.890000,
2017-01-26,23374.170000,5850.000000,4814.980000,
2017-01-27,23360.779000,5899.500000,4814.980000,
2017-01-30,23360.779000,5850.000000,4814.980000,
2017-01-31,23360.779000,5937.000000,4814.980000,
2017-02-01,23318.391000,5948.000000,4814.980000,
2017-02-02,23184.520000,5906.500000,4814.980000,
2017-02-03,23129.211000,5765.500000,4802.020000,
2017-02-06,23348.240000,5845.500000,4826.490000,
2017-02-07,23331.570000,5807.000000,4831.540000,
2017-02-08,23485.131000,5867.500000,4855.620000,
2017-02-09,23525.141000,5848.000000,4900.790000,
2017-02-10,23574.980000,6087.500000,4895.800000,
2017-02-13,23710.980000,6127.000000,4912.410000,
2017-02-14,23703.010000,6047.500000,4917.150000,
2017-02-15,23994.869000,6053.000000,4885.430000,
2017-02-16,24107.699000,5990.000000,4909.980000,
2017-02-17,24033.740000,5970.000000,4869.170000,
