date,yield_10y,rate_factor
2015-01-30,3.501900,3.501900
2015-02-28,3.360200,3.360200
2015-03-31,3.648300,3.648300
2015-04-30,3.350300,3.350300
2015-05-29,3.595400,3.595400
2015-06-30,3.597600,3.597600
2015-07-31,3.475200,3.475200
2015-08-31,3.325200,3.325200
2015-09-30,3.236200,3.236200
2015-10-30,3.060000,3.060000
2015-11-30,3.040400,3.040400
2015-12-31,2.821200,2.821200
2016-01-29,2.841900,2.841900
2016-02-29,2.850200,2.850200
2016-03-31,2.841900,2.841900
2016-04-29,2.891300,2.891300
2016-05-31,2.985100,2.985100
2016-06-30,2.841100,2.841100
2016-07-29,2.776800,2.776800
2016-08-31,2.742500,2.742500
2016-09-30,2.725800,2.725800
2016-10-31,2.742500,2.742500
2016-11-30,2.950200,2.950200
2016-12-31,3.011500,3.011500
2017-01-26,3.346500,3.346500
2017-02-28,3.292100,3.292100
2017-03-31,3.282800,3.282800
2017-04-28,3.466800,3.466800
2017-05-31,3.610200,3.610200
2017-06-30,3.568300,3.568300
2017-07-31,3.626000,3.626000
2017-08-31,3.626500,3.626500
2017-09-30,3.613600,3.613600
2017-10-31,3.891700,3.891700
2017-11-30,3.890100,3.890100
2017-12-31,3.880700,3.880700
2018-01-31,3.914000,3.914000
2018-02-28,3.820200,3.820200
2018-03-30,3.740700,3.740700
2018-04-28,3.621700,3.621700
2018-05-31,3.612900,3.612900
2018-06-29,3.475600,3.475600
2018-07-31,3.481200,3.481200
2018-08-31,3.575100,3.575100
2018-09-30,3.610300,3.610300
2018-10-31,3.508600,3.508600
2018-11-30,3.355000,3.355000
2018-12-31,3.226500,3.226500
2019-01-31,3.103700,3.103700
2019-02-28,3.173100,3.173100
2019-03-29,3.068300,3.068300
2019-04-30,3.386900,3.386900
2019-05-31,3.275100,3.275100
2019-06-28,3.225400,3.225400
2019-07-31,3.155200,3.155200
2019-08-30,3.057300,3.057300
2019-09-30,3.141100,3.141100
2019-10-31,3.288000,3.288000
2019-11-29,3.165000,3.165000
2019-12-31,3.136500,3.136500
2020-01-23,2.993200,2.993200
2020-02-28,2.737600,2.737600
2020-03-31,2.589900,2.589900
2020-04-30,2.538000,2.538000
2020-05-29,2.705300,2.705300
2020-06-30,2.823000,2.823000
2020-07-31,2.966400,2.966400
2020-08-31,3.017700,3.017700
2020-09-30,3.148200,3.148200
2020-10-30,3.181000,3.181000
2020-11-30,3.250000,3.250000
2020-12-31,3.142900,3.142900
2021-01-31,3.178600,3.178600
2021-02-28,3.279800,3.279800
2021-03-31,3.188700,3.188700
2021-04-30,3.164000,3.164000
2021-05-31,3.045000,3.045000
2021-06-30,3.077800,3.077800
2021-07-31,2.836300,2.836300
2021-08-31,2.845000,2.845000
2021-09-30,2.877600,2.877600
2021-10-31,2.973200,2.973200
2021-11-30,2.825000,2.825000
2021-12-31,2.775400,2.775400
2022-01-31,2.699700,2.699700
2022-02-28,2.775000,2.775000
2022-03-31,2.787800,2.787800
2022-04-30,2.838600,2.838600
2022-05-31,2.742600,2.742600
2022-06-30,2.820500,2.820500
2022-07-31,2.756000,2.756000
2022-08-31,2.622500,2.622500
2022-09-30,2.760100,2.760100
2022-10-31,2.643300,2.643300
2022-11-30,2.885000,2.885000
2022-12-31,2.835300,2.835300
2023-01-31,2.897700,2.897700
2023-02-28,2.901700,2.901700
2023-03-31,2.852800,2.852800
2023-04-30,2.778800,2.778800
2023-05-31,2.685000,2.685000
2023-06-30,2.635100,2.635100
2023-07-31,2.659700,2.659700
2023-08-31,2.557500,2.557500
2023-09-30,2.675100,2.675100
2023-10-31,2.693800,2.693800
2023-11-30,2.668000,2.668000
2023-12-31,2.555300,2.555300
2024-01-31,2.433000,2.433000
2024-02-29,2.337500,2.337500
2024-03-31,2.290100,2.290100
2024-04-30,2.302800,2.302800
2024-05-31,2.292600,2.292600
2024-06-30,2.205800,2.205800
2024-07-31,2.149400,2.149400
2024-08-31,2.170400,2.170400
2024-09-30,2.151800,2.151800
2024-10-31,2.147600,2.147600
2024-11-30,2.020600,2.020600
2024-12-31,1.675200,1.675200
2025-01-31,1.629900,1.629900
2025-02-28,1.715200,1.715200
2025-03-31,1.812900,1.812900
2025-04-30,1.624300,1.624300
2025-05-31,1.671200,1.671200
2025-06-30,1.646900,1.646900
2025-07-31,1.704400,1.704400
2025-08-31,1.837900,1.837900
2025-09-30,1.860500,1.860500
2025-10-31,1.795400,1.795400
2025-11-30,1.841200,1.841200
2025-12-31,1.847300,1.847300
2026-01-31,1.811200,1.811200
2026-02-28,1.775300,1.775300
2026-03-31,1.817100,1.817100
2026-04-30,1.747300,1.747300
2026-05-31,1.709000,1.709000
2026-06-30,1.733000,1.733000
2026-07-31,1.714100,1.714100
2026-08-31,1.692400,1.692400
