date,m2_yoy,sf_yoy,mobility_factor
2008-12-31,17.820000,20.500000,-2.680000
2009-12-31,27.680000,34.800000,-7.120000
2010-12-31,19.700000,27.000000,-7.300000
2011-12-31,13.600000,18.200000,-4.600000
2012-12-31,13.800000,19.100000,-5.300000
2013-12-31,13.600000,17.500000,-3.900000
2014-12-31,12.200000,14.300000,-2.100000
2015-03-31,11.600000,13.000000,-1.400000
2015-06-30,11.800000,11.900000,-0.100000
2015-09-30,13.100000,12.500000,0.600000
2015-12-31,13.300000,12.400000,0.900000
2016-01-31,14.000000,13.100000,0.900000
2016-02-29,13.300000,12.700000,0.600000
2016-03-31,13.400000,13.400000,0.000000
2016-04-30,12.800000,13.100000,-0.300000
2016-05-31,11.800000,12.600000,-0.800000
2016-06-30,11.800000,12.400000,-0.600000
2016-07-31,10.200000,12.200000,-2.000000
2016-08-31,11.400000,12.300000,-0.900000
2016-09-30,11.500000,12.500000,-1.000000
2016-10-31,11.600000,12.700000,-1.100000
2016-11-30,11.400000,13.300000,-1.900000
2016-12-31,11.300000,12.800000,-1.500000
2017-01-31,10.703200,16.411026,-5.707826
2017-02-28,10.450000,16.383288,-5.933288
2017-03-31,10.117800,15.710338,-5.592538
2017-04-30,9.842600,15.501043,-5.658443
2017-05-31,9.128900,15.503387,-6.374487
2017-06-30,9.101300,14.917823,-5.816523
2017-07-31,8.890000,15.542253,-6.652253
2017-08-31,8.563300,15.112273,-6.548973
2017-09-30,8.976000,14.888994,-5.912994
2017-10-31,8.877100,14.955353,-6.078253
2017-11-30,9.114800,14.492229,-5.377429
2017-12-31,8.065400,14.081822,-6.016422
2018-01-31,8.600000,13.433579,-4.833579
2018-02-28,8.800000,13.388316,-4.588316
2018-03-31,8.200000,12.690308,-4.490308
2018-04-30,8.300000,12.652969,-4.352969
2018-05-31,8.300000,12.199076,-3.899076
2018-06-30,8.000000,11.761270,-3.761270
2018-07-31,8.500000,11.485086,-2.985086
2018-08-31,8.200000,11.516139,-3.316139
2018-09-30,8.300000,11.208433,-2.908433
2018-10-31,8.000000,10.789977,-2.789977
2018-11-30,8.000000,10.307183,-2.307183
2018-12-31,8.100000,10.259731,-2.159731
2019-01-31,8.400000,10.851788,-2.451788
2019-02-28,8.000000,10.645691,-2.645691
2019-03-31,8.600000,11.162117,-2.562117
2019-04-30,8.500000,10.805548,-2.305548
2019-05-31,8.500000,11.025001,-2.525001
2019-06-30,8.500000,11.193424,-2.693424
2019-07-31,8.100000,10.848681,-2.748681
2019-08-31,8.200000,10.676172,-2.476172
2019-09-30,8.400000,10.666387,-2.266387
2019-10-31,8.400000,10.581898,-2.181898
2019-11-30,8.200000,10.669227,-2.469227
2019-12-31,8.700000,10.692756,-1.992756
2020-01-31,8.400000,10.700000,-2.300000
2020-02-29,8.800000,10.700000,-1.900000
2020-03-31,10.100000,11.500000,-1.400000
2020-04-30,11.100000,12.000000,-0.900000
2020-05-31,11.100000,12.500000,-1.400000
2020-06-30,11.100000,12.800000,-1.700000
2020-07-31,10.700000,12.900000,-2.200000
2020-08-31,10.400000,13.300000,-2.900000
2020-09-30,10.900000,13.500000,-2.600000
2020-10-31,10.500000,13.700000,-3.200000
2020-11-30,10.700000,13.600000,-2.900000
2020-12-31,10.100000,13.300000,-3.200000
2021-01-31,9.400000,13.000000,-3.600000
2021-02-28,10.100000,13.300000,-3.200000
2021-03-31,9.400000,12.300000,-2.900000
2021-04-30,8.100000,11.700000,-3.600000
2021-05-31,8.300000,11.000000,-2.700000
2021-06-30,8.600000,11.000000,-2.400000
2021-07-31,8.300000,10.700000,-2.400000
2021-08-31,8.200000,10.300000,-2.100000
2021-09-30,8.300000,10.000000,-1.700000
2021-10-31,8.700000,10.000000,-1.300000
2021-11-30,8.500000,10.100000,-1.600000
2021-12-31,9.000000,10.300000,-1.300000
2022-01-31,9.800000,10.500000,-0.700000
2022-02-28,9.200000,10.200000,-1.000000
2022-03-31,9.700000,10.500000,-0.800000
2022-04-30,10.500000,10.200000,0.300000
2022-05-31,11.100000,10.500000,0.600000
2022-06-30,11.400000,10.800000,0.600000
2022-07-31,12.000000,10.700000,1.300000
2022-08-31,12.200000,10.500000,1.700000
2022-09-30,12.100000,10.600000,1.500000
2022-10-31,11.800000,10.300000,1.500000
2022-11-30,12.400000,10.000000,2.400000
2022-12-31,11.800000,9.600000,2.200000
2023-01-31,12.600000,9.400000,3.200000
2023-02-28,12.900000,9.900000,3.000000
2023-03-31,12.700000,10.000000,2.700000
2023-04-30,12.400000,10.000000,2.400000
2023-05-31,11.600000,9.500000,2.100000
2023-06-30,11.300000,9.000000,2.300000
2023-07-31,10.700000,8.900000,1.800000
2023-08-31,10.600000,9.000000,1.600000
2023-09-30,10.300000,9.000000,1.300000
2023-10-31,10.300000,9.300000,1.000000
2023-11-30,10.000000,9.400000,0.600000
2023-12-31,9.700000,9.500000,0.200000
2024-01-31,8.700000,9.500000,-0.800000
2024-02-29,8.700000,9.000000,-0.300000
2024-03-31,8.300000,8.700000,-0.400000
2024-04-30,7.200000,8.300000,-1.100000
2024-05-31,7.000000,8.400000,-1.400000
2024-06-30,6.200000,8.100000,-1.900000
2024-07-31,6.300000,8.200000,-1.900000
2024-08-31,6.300000,8.100000,-1.800000
2024-09-30,6.800000,8.000000,-1.200000
2024-10-31,7.500000,7.800000,-0.300000
2024-11-30,7.100000,7.800000,-0.700000
2024-12-31,7.300000,8.000000,-0.700000
2025-01-31,7.000000,8.000000,-1.000000
2025-02-28,7.000000,8.200000,-1.200000
2025-03-31,7.000000,8.400000,-1.400000
2025-04-30,8.000000,8.700000,-0.700000
2025-05-31,7.900000,8.700000,-0.800000
2025-06-30,8.300000,8.900000,-0.600000
2025-07-31,8.800000,9.000000,-0.200000
2025-08-31,8.800000,8.800000,0.000000
2025-09-30,8.400000,8.700000,-0.300000
2025-10-31,8.200000,8.500000,-0.300000
2025-11-30,8.000000,8.500000,-0.500000
2025-12-31,8.500000,8.300000,0.200000
2026-01-31,9.000000,8.200000,0.800000
2026-02-28,9.000000,8.200000,0.800000
2026-03-31,8.500000,7.900000,0.600000
2026-04-30,8.600000,7.800000,0.800000
2026-05-31,8.600000,7.700000,0.900000
2026-06-30,8.000000,7.400000,0.600000
2026-07-31,7.700000,7.400000,0.300000
