date,gpr,geo_factor
2021-01-31,23.888710,23.888710
2021-02-28,66.417397,66.417397
2021-03-31,76.345985,76.345985
2021-04-30,36.401844,36.401844
2021-05-31,57.554264,57.554264
2021-06-30,43.817032,43.817032
2021-07-31,30.390528,30.390528
2021-08-31,203.012360,203.012360
2021-09-30,102.680672,102.680672
2021-10-31,66.920563,66.920563
2021-11-30,92.789009,92.789009
2021-12-31,76.591156,76.591156
2022-01-31,142.988541,142.988541
2022-02-28,452.618073,452.618073
2022-03-31,254.812912,254.812912
2022-04-30,168.435638,168.435638
2022-05-31,190.309097,190.309097
2022-06-30,173.206161,173.206161
2022-07-31,125.184242,125.184242
2022-08-31,97.747894,97.747894
2022-09-30,162.741043,162.741043
2022-10-31,113.790489,113.790489
2022-11-30,81.590332,81.590332
2022-12-31,74.579384,74.579384
2023-01-31,148.323929,148.323929
2023-02-28,146.953094,146.953094
2023-03-31,90.445534,90.445534
2023-04-30,71.347610,71.347610
2023-05-31,219.583069,219.583069
2023-06-30,102.673386,102.673386
2023-07-31,154.399338,154.399338
2023-08-31,117.423111,117.423111
2023-09-30,82.556198,82.556198
2023-10-31,172.081436,172.081436
2023-11-30,178.901733,178.901733
2023-12-31,110.085335,110.085335
2024-01-31,205.607651,205.607651
2024-02-29,153.250458,153.250458
2024-03-31,119.953705,119.953705
2024-04-30,167.803619,167.803619
2024-05-31,156.499268,156.499268
2024-06-30,46.920223,46.920223
2024-07-31,112.864311,112.864311
2024-08-31,124.575203,124.575203
2024-09-30,160.492630,160.492630
2024-10-31,133.899918,133.899918
2024-11-30,105.601990,105.601990
2024-12-31,63.398422,63.398422
2025-01-31,109.840813,109.840813
2025-02-28,122.687691,122.687691
2025-03-31,188.361694,188.361694
2025-04-30,140.214508,140.214508
2025-05-31,54.934788,54.934788
2025-06-30,147.653214,147.653214
2025-07-31,176.513382,176.513382
2025-08-31,44.764431,44.764431
2025-09-30,161.746475,161.746475
2025-10-31,158.784241,158.784241
2025-11-30,77.036461,77.036461
2025-12-31,161.760208,161.760208
2026-01-31,129.195313,129.195313
2026-02-28,89.528862,89.528862
2026-03-31,447.822266,447.822266
2026-04-30,193.477402,193.477402
2026-05-31,109.506363,109.506363
2026-06-30,140.147095,140.147095
2026-07-31,182.678360,182.678360
2026-08-31,144.473358,144.473358
