ym,gpr_actual,gpr_fitted
2021-04,36.401844,86.291549
2021-05,57.554264,92.636867
2021-06,43.817032,105.029421
2021-07,30.390528,107.377544
2021-08,203.012360,100.099488
2021-09,102.680672,115.133284
2021-10,66.920563,129.347886
2021-11,92.789009,95.232569
2021-12,76.591156,113.730141
2022-01,142.988541,143.197402
2022-02,452.618073,165.589741
2022-03,254.812912,185.059637
2022-04,168.435638,185.827090
2022-05,190.309097,213.088775
2022-06,173.206161,195.482706
2022-07,125.184242,183.070188
2022-08,97.747894,159.594842
2022-09,162.741043,135.260438
2022-10,113.790489,153.309871
2022-11,81.590332,137.572108
2022-12,74.579384,136.195401
2023-01,148.323929,135.084919
2023-02,146.953094,129.955077
2023-03,90.445534,122.192647
2023-04,71.347610,123.653446
2023-05,219.583069,102.488545
2023-06,102.673386,112.297987
2023-07,154.399338,138.037473
2023-08,117.423111,142.565627
2023-09,82.556198,155.861104
2023-10,172.081436,139.876467
2023-11,178.901733,126.980869
2023-12,110.085335,118.403579
2024-01,205.607651,128.965078
2024-02,153.250458,132.119688
2024-03,119.953705,145.389209
2024-04,167.803619,142.455524
2024-05,156.499268,130.899041
2024-06,46.920223,143.235358
2024-07,112.864311,136.056117
2024-08,124.575203,125.233627
2024-09,160.492630,112.009505
2024-10,133.899918,118.296398
2024-11,105.601990,113.837335
2024-12,63.398422,122.414292
2025-01,109.840813,129.424410
2025-02,122.687691,119.529216
2025-03,188.361694,123.590207
2025-04,140.214508,90.942643
2025-05,54.934788,96.679753
2025-06,147.653214,110.996743
2025-07,176.513382,127.678710
2025-08,44.764431,116.087278
2025-09,161.746475,112.455774
2025-10,158.784241,108.653806
2025-11,77.036461,103.957901
2025-12,161.760208,106.704577
2026-01,129.195313,132.764632
2026-02,89.528862,143.632056
2026-03,447.822266,222.431794
2026-04,193.477402,254.118934
2026-05,109.506363,204.907250
2026-06,140.147095,148.886218
2026-07,182.678360,193.397182
2026-08,144.473358,191.654383
