date,hf_geo_factor
2021-01-03,50.083736
2021-01-04,47.385869
2021-01-05,54.762391
2021-01-06,56.568258
2021-01-07,57.404415
2021-01-08,61.765478
2021-01-09,61.735684
2021-01-10,61.832158
2021-01-11,59.944198
2021-01-12,62.801171
2021-01-13,60.664825
2021-01-14,62.078008
2021-01-15,58.273513
2021-01-16,58.130221
2021-01-17,58.395523
2021-01-18,57.865617
2021-01-19,60.369529
2021-01-20,59.568949
2021-01-21,61.043842
2021-01-22,58.738157
2021-01-23,58.857330
2021-01-24,58.853074
2021-01-25,60.923034
2021-01-26,60.758864
2021-01-27,58.537210
2021-01-28,57.786587
2021-01-29,57.917823
2021-01-30,58.052602
2021-01-31,58.035578
2021-02-01,60.826374
2021-02-02,64.741437
2021-02-03,66.787186
2021-02-04,67.919151
2021-02-05,69.260381
2021-02-06,68.587905
2021-02-07,68.298485
2021-02-08,71.013376
2021-02-09,72.681123
2021-02-10,71.502658
2021-02-11,71.095065
2021-02-12,76.186671
2021-02-13,76.474672
2021-02-14,76.528584
2021-02-15,78.029022
2021-02-16,79.025487
2021-02-17,82.253871
2021-02-18,78.529235
2021-02-19,76.740082
2021-02-20,76.742920
2021-02-21,76.944379
2021-02-22,82.480363
2021-02-23,80.747045
2021-02-24,86.688692
2021-02-25,86.010316
2021-02-26,82.001121
2021-02-27,81.907485
2021-02-28,82.020983
2021-03-01,78.802429
2021-03-02,77.102656
2021-03-03,80.451229
2021-03-04,88.757543
2021-03-05,95.029358
2021-03-06,95.029358
2021-03-07,95.029358
2021-03-08,91.394799
2021-03-09,89.470759
2021-03-10,91.748876
2021-03-11,95.140724
2021-03-12,93.935900
2021-03-13,93.935900
2021-03-14,93.935900
2021-03-15,92.032148
2021-03-16,91.389853
2021-03-17,89.541517
2021-03-18,76.537298
2021-03-19,80.969591
2021-03-20,80.969591
2021-03-21,80.969591
2021-03-22,80.562308
2021-03-23,70.985800
2021-03-24,80.373509
2021-03-25,74.545453
2021-03-26,80.826292
2021-03-27,80.826292
2021-03-28,80.826292
2021-03-29,83.158832
2021-03-30,80.263655
2021-03-31,77.691148
2021-04-01,81.593745
2021-04-02,81.738455
2021-04-03,81.738455
2021-04-04,81.738455
2021-04-05,76.065955
2021-04-06,76.733485
2021-04-07,77.057272
2021-04-08,78.051318
2021-04-09,76.925238
2021-04-10,76.925238
2021-04-11,76.925238
2021-04-12,77.529522
2021-04-13,79.788986
2021-04-14,85.694460
2021-04-15,87.118891
2021-04-16,86.813656
2021-04-17,86.813656
2021-04-18,86.813656
2021-04-19,87.932852
2021-04-20,85.770768
2021-04-21,82.642106
2021-04-22,83.531988
2021-04-23,84.351120
2021-04-24,84.351120
2021-04-25,84.351120
2021-04-26,83.809655
2021-04-27,84.856489
2021-04-28,85.875056
2021-04-29,89.430872
2021-04-30,84.955110
2021-05-01,84.955110
2021-05-02,84.955110
2021-05-03,87.947675
2021-05-04,92.162710
2021-05-05,89.896547
2021-05-06,88.985609
2021-05-07,88.694871
2021-05-08,88.694871
2021-05-09,88.694871
2021-05-10,88.834410
2021-05-11,89.834534
2021-05-12,90.998618
2021-05-13,86.249934
2021-05-14,90.414398
2021-05-15,90.414398
2021-05-16,90.414398
2021-05-17,92.592894
2021-05-18,90.073485
2021-05-19,85.356927
2021-05-20,81.401023
2021-05-21,85.562239
2021-05-22,85.562239
2021-05-23,85.562239
2021-05-24,89.594754
2021-05-25,89.876274
2021-05-26,90.447021
2021-05-27,91.839225
2021-05-28,91.286418
2021-05-29,91.286418
2021-05-30,91.286418
2021-05-31,92.419802
2021-06-01,95.045421
2021-06-02,96.203032
2021-06-03,97.225437
2021-06-04,98.673878
2021-06-05,98.673878
2021-06-06,98.673878
2021-06-07,97.859917
2021-06-08,99.068804
2021-06-09,99.120180
2021-06-10,100.156276
2021-06-11,100.849235
2021-06-12,100.849235
2021-06-13,100.849235
2021-06-14,101.796665
2021-06-15,104.609254
2021-06-16,103.857104
2021-06-17,101.618711
2021-06-18,102.439254
2021-06-19,102.439254
2021-06-20,102.439254
2021-06-21,106.747204
2021-06-22,106.251658
2021-06-23,106.450581
2021-06-24,106.836483
2021-06-25,107.921428
2021-06-26,107.921428
2021-06-27,107.921428
2021-06-28,104.468583
2021-06-29,106.171496
2021-06-30,106.023948
2021-07-01,108.505757
2021-07-02,109.285265
2021-07-03,109.285265
2021-07-04,109.285265
2021-07-05,112.159565
2021-07-06,106.639892
2021-07-07,102.595524
2021-07-08,105.556156
2021-07-09,108.977076
2021-07-10,108.977076
2021-07-11,108.977076
2021-07-12,108.106971
2021-07-13,111.016537
2021-07-14,106.476413
2021-07-15,103.172030
2021-07-16,103.359201
2021-07-17,103.359201
2021-07-18,103.359201
2021-07-19,92.093557
2021-07-20,91.977012
2021-07-21,101.209064
2021-07-22,104.828109
2021-07-23,106.150796
2021-07-24,106.150796
2021-07-25,106.150796
2021-07-26,107.842662
2021-07-27,105.092202
2021-07-28,105.625953
2021-07-29,107.843879
2021-07-30,108.840251
2021-07-31,108.840251
2021-08-01,108.840251
2021-08-02,104.016676
2021-08-03,101.753552
2021-08-04,96.251726
2021-08-05,98.288760
2021-08-06,96.187488
2021-08-07,96.187488
2021-08-08,96.187488
2021-08-09,93.097735
2021-08-10,97.503174
2021-08-11,99.422144
2021-08-12,98.138678
2021-08-13,96.094852
2021-08-14,96.094852
2021-08-15,96.094852
2021-08-16,94.365185
2021-08-17,92.680118
2021-08-18,88.555084
2021-08-19,85.697313
2021-08-20,81.442670
2021-08-21,81.442670
2021-08-22,81.442670
2021-08-23,91.080284
2021-08-24,97.342269
2021-08-25,99.240260
2021-08-26,95.506197
2021-08-27,98.393064
2021-08-28,98.393064
2021-08-29,98.393064
2021-08-30,99.566172
2021-08-31,98.426811
2021-09-01,97.200706
2021-09-02,101.396064
2021-09-03,100.541364
2021-09-04,100.541364
2021-09-05,100.541364
2021-09-06,99.662746
2021-09-07,98.466830
2021-09-08,101.329780
2021-09-09,98.000263
2021-09-10,102.101481
2021-09-11,102.101481
2021-09-12,102.101481
2021-09-13,103.877563
2021-09-14,104.615719
2021-09-15,108.709743
2021-09-16,109.353550
2021-09-17,108.824761
2021-09-18,108.824761
2021-09-19,108.824761
2021-09-20,105.412454
2021-09-21,106.707673
2021-09-22,109.584407
2021-09-23,110.950067
2021-09-24,112.928925
2021-09-25,112.928925
2021-09-26,112.928925
2021-09-27,116.638669
2021-09-28,113.359319
2021-09-29,114.842825
2021-09-30,116.102274
2021-10-01,118.435721
2021-10-02,118.435721
2021-10-03,118.435721
2021-10-04,123.268723
2021-10-05,126.548585
2021-10-06,122.207695
2021-10-07,126.360701
2021-10-08,126.463260
2021-10-09,126.463260
2021-10-10,126.463260
2021-10-11,128.556043
2021-10-12,127.648346
2021-10-13,127.594535
2021-10-14,129.633283
2021-10-15,131.857790
2021-10-16,131.857790
2021-10-17,131.857790
2021-10-18,130.126193
2021-10-19,132.937960
2021-10-20,134.847201
2021-10-21,131.868016
2021-10-22,134.549059
2021-10-23,134.549059
2021-10-24,134.549059
2021-10-25,132.978902
2021-10-26,133.813430
2021-10-27,128.777861
2021-10-28,129.683233
2021-10-29,129.013067
2021-10-30,129.013067
2021-10-31,129.013067
2021-11-01,131.696947
2021-11-02,130.512691
2021-11-03,123.639321
2021-11-04,122.531374
2021-11-05,126.574223
2021-11-06,126.574223
2021-11-07,126.574223
2021-11-08,129.620188
2021-11-09,133.377261
2021-11-10,126.752688
2021-11-11,126.424350
2021-11-12,124.832400
2021-11-13,124.832400
2021-11-14,124.832400
2021-11-15,125.235938
2021-11-16,125.527188
2021-11-17,120.358250
2021-11-18,122.277833
2021-11-19,115.921910
2021-11-20,115.921910
2021-11-21,115.921910
2021-11-22,118.058558
2021-11-23,124.875481
2021-11-24,122.204563
2021-11-25,121.922438
2021-11-26,98.396010
2021-11-27,98.396010
2021-11-28,98.396010
2021-11-29,102.186318
2021-11-30,94.195480
2021-12-01,90.958080
2021-12-02,94.729239
2021-12-03,93.889842
2021-12-04,93.889842
2021-12-05,93.889842
2021-12-06,102.690795
2021-12-07,107.091272
2021-12-08,108.617449
2021-12-09,103.733683
2021-12-10,107.276311
2021-12-11,107.276311
2021-12-12,107.276311
2021-12-13,104.761972
2021-12-14,102.237291
