date,增长因子,通胀因子,利率因子,信用因子,汇率因子,地缘因子,流动性因子
2000-01-03,,,,,100.220001,,
2000-01-04,,,,,100.410004,,
2000-01-05,,,,,100.379997,,
2000-01-06,,,,,100.650002,,
2000-01-07,,,,,100.800003,,
2000-01-10,,,,,100.989998,,
2000-01-11,,,,,100.559998,,
2000-01-12,,,,,100.620003,,
2000-01-13,,,,,101.000000,,
2000-01-14,,,,,101.720001,,
2000-01-17,,,,,102.050003,,
2000-01-18,,,,,101.860001,,
2000-01-19,,,,,101.760002,,
2000-01-20,,,,,101.360001,,
2000-01-21,,,,,101.760002,,
2000-01-24,,,,,102.199997,,
2000-01-25,,,,,102.410004,,
2000-01-26,,,,,102.440002,,
2000-01-27,,,,,103.169998,,
2000-01-28,,,,,104.480003,,
2000-01-31,,,,,105.129997,,
2000-02-01,,,,,104.919998,,
2000-02-02,,,,,104.790001,,
2000-02-03,,,,,103.800003,,
2000-02-04,,,,,104.290001,,
2000-02-07,,,,,104.639999,,
2000-02-08,,,,,104.220001,,
2000-02-09,,,,,103.680000,,
2000-02-10,,,,,104.129997,,
2000-02-11,,,,,104.190002,,
2000-02-14,,,,,104.720001,,
2000-02-15,,,,,104.690002,,
2000-02-16,,,,,104.279999,,
2000-02-17,,,,,104.269997,,
2000-02-18,,,,,104.629997,,
2000-02-21,,,,,104.580002,,
2000-02-22,,,,,103.279999,,
2000-02-23,,,,,103.529999,,
2000-02-24,,,,,104.010002,,
2000-02-25,,,,,105.260002,,
2000-02-28,,,,,105.269997,,
2000-02-29,,,,,105.919998,,
2000-03-01,,,,,104.889999,,
2000-03-02,,,,,105.650002,,
2000-03-03,,,,,106.000000,,
2000-03-06,,,,,106.160004,,
2000-03-07,,,,,106.089996,,
2000-03-08,,,,,105.930000,,
2000-03-09,,,,,105.370003,,
2000-03-10,,,,,105.709999,,
2000-03-13,,,,,105.500000,,
2000-03-14,,,,,105.300003,,
2000-03-15,,,,,105.379997,,
2000-03-16,,,,,105.180000,,
2000-03-17,,,,,105.199997,,
2000-03-20,,,,,105.150002,,
2000-03-21,,,,,105.809998,,
2000-03-22,,,,,106.040001,,
2000-03-23,,,,,105.230003,,
2000-03-24,,,,,104.769997,,
2000-03-27,,,,,105.449997,,
2000-03-28,,,,,105.529999,,
2000-03-29,,,,,106.250000,,
2000-03-30,,,,,105.470001,,
2000-03-31,,,,,105.440002,,
2000-04-03,,,,,105.540001,,
2000-04-04,,,,,105.169998,,
2000-04-05,,,,,105.290001,,
2000-04-06,,,,,105.519997,,
2000-04-07,,,,,105.970001,,
2000-04-10,,,,,105.680000,,
2000-04-11,,,,,105.940002,,
2000-04-12,,,,,105.959999,,
2000-04-13,,,,,106.139999,,
2000-04-14,,,,,105.750000,,
2000-04-17,,,,,106.129997,,
2000-04-18,,,,,106.629997,,
2000-04-19,,,,,107.129997,,
2000-04-20,,,,,107.449997,,
2000-04-24,,,,,107.279999,,
2000-04-25,,,,,108.690002,,
2000-04-26,,,,,108.550003,,
2000-04-27,,,,,109.570000,,
2000-04-28,,,,,110.139999,,
2000-05-01,,,,,109.629997,,
2000-05-02,,,,,110.260002,,
2000-05-03,,,,,111.260002,,
2000-05-04,,,,,111.800003,,
2000-05-05,,,,,111.309998,,
2000-05-08,,,,,111.449997,,
2000-05-09,,,,,110.750000,,
2000-05-10,,,,,110.800003,,
2000-05-11,,,,,111.519997,,
2000-05-12,,,,,109.900002,,
2000-05-15,,,,,110.559998,,
