date,沪金,布伦特原油
2018-01-02,279.400000,66.550000
2018-01-03,280.350000,67.920000
2018-01-04,279.000000,67.980000
2018-01-05,279.850000,67.790000
2018-01-08,280.200000,67.920000
2018-01-09,280.550000,69.160000
2018-01-10,279.950000,69.100000
2018-01-11,280.850000,69.110000
2018-01-12,281.550000,69.810000
2018-01-15,282.050000,70.220000
2018-01-16,281.850000,69.320000
2018-01-17,280.800000,69.450000
2018-01-18,279.250000,69.140000
2018-01-19,278.350000,68.650000
2018-01-22,278.500000,69.230000
2018-01-23,279.400000,69.840000
2018-01-24,280.700000,70.750000
2018-01-25,281.750000,70.040000
2018-01-26,279.950000,69.940000
2018-01-29,278.700000,69.160000
2018-01-30,276.350000,68.110000
2018-01-31,276.600000,68.880000
2018-02-01,276.050000,69.780000
2018-02-02,276.400000,68.230000
2018-02-05,274.000000,66.920000
2018-02-06,276.000000,67.220000
2018-02-07,272.300000,65.350000
2018-02-08,271.700000,64.310000
2018-02-09,273.050000,62.710000
2018-02-12,272.900000,62.660000
2018-02-13,274.250000,62.600000
2018-02-14,276.100000,64.350000
2018-02-15,276.100000,64.530000
2018-02-16,276.100000,64.900000
2018-02-19,276.100000,65.620000
2018-02-20,276.100000,65.110000
2018-02-21,276.100000,65.060000
2018-02-22,273.650000,66.180000
2018-02-23,274.600000,67.100000
2018-02-26,275.850000,67.530000
2018-02-27,274.400000,66.330000
2018-02-28,272.050000,64.750000
2018-03-01,271.700000,64.200000
2018-03-02,272.700000,64.560000
2018-03-05,273.650000,65.560000
2018-03-06,273.300000,65.530000
2018-03-07,274.500000,64.570000
2018-03-08,274.000000,63.870000
2018-03-09,272.550000,65.490000
2018-03-12,272.500000,64.950000
2018-03-13,272.300000,64.730000
2018-03-14,272.750000,64.900000
2018-03-15,272.500000,65.010000
2018-03-16,271.350000,65.990000
2018-03-19,270.050000,66.100000
2018-03-20,271.200000,67.590000
2018-03-21,271.150000,69.820000
2018-03-22,273.500000,68.300000
2018-03-23,276.500000,69.750000
2018-03-26,276.150000,69.520000
2018-03-27,275.800000,68.890000
2018-03-28,274.200000,69.000000
2018-03-29,271.050000,69.350000
2018-03-30,271.550000,69.350000
2018-04-02,271.750000,67.690000
2018-04-03,273.750000,68.190000
2018-04-04,273.400000,68.230000
2018-04-05,273.400000,68.500000
2018-04-06,273.400000,67.440000
2018-04-09,272.550000,68.550000
2018-04-10,272.700000,71.150000
2018-04-11,274.300000,72.000000
2018-04-12,275.200000,72.080000
2018-04-13,273.150000,72.500000
2018-04-16,274.250000,72.010000
2018-04-17,274.650000,71.440000
2018-04-18,274.500000,73.200000
2018-04-19,275.200000,73.580000
2018-04-20,273.850000,73.710000
2018-04-23,272.550000,75.030000
2018-04-24,271.850000,73.880000
2018-04-25,271.600000,74.060000
2018-04-26,271.900000,74.740000
2018-04-27,271.150000,74.420000
2018-04-30,271.150000,74.670000
2018-05-01,271.150000,73.380000
2018-05-02,270.400000,73.060000
2018-05-03,274.150000,73.720000
2018-05-04,274.300000,74.960000
2018-05-07,275.150000,75.530000
2018-05-08,274.950000,75.950000
2018-05-09,274.600000,77.350000
2018-05-10,274.800000,77.500000
2018-05-11,275.200000,76.990000
2018-05-14,275.150000,78.520000
2018-05-15,273.800000,78.120000
2018-05-16,271.250000,79.330000
2018-05-17,269.850000,79.560000
2018-05-18,270.300000,78.710000
2018-05-21,269.500000,79.430000
2018-05-22,270.250000,79.440000
2018-05-23,270.500000,79.690000
2018-05-24,272.250000,78.820000
2018-05-25,273.550000,76.420000
2018-05-28,272.350000,75.320000
2018-05-29,273.250000,75.560000
2018-05-30,274.150000,77.860000
2018-05-31,274.500000,77.610000
2018-06-01,273.850000,76.710000
2018-06-04,272.400000,75.370000
2018-06-05,271.900000,74.960000
2018-06-06,272.400000,75.860000
2018-06-07,272.150000,77.440000
2018-06-08,272.100000,76.340000
2018-06-11,272.700000,76.360000
2018-06-12,272.400000,75.430000
2018-06-13,272.100000,76.560000
2018-06-14,273.350000,75.900000
2018-06-15,273.650000,73.000000
2018-06-18,273.650000,75.460000
2018-06-19,271.400000,75.070000
2018-06-20,270.200000,74.300000
2018-06-21,269.450000,73.400000
2018-06-22,270.550000,75.530000
2018-06-25,271.150000,74.750000
2018-06-26,271.250000,76.480000
2018-06-27,271.600000,77.130000
2018-06-28,270.900000,77.550000
2018-06-29,271.400000,79.080000
2018-07-02,272.100000,77.490000
2018-07-03,271.900000,77.880000
2018-07-04,272.650000,78.160000
2018-07-05,272.750000,77.540000
2018-07-06,273.250000,77.290000
2018-07-09,273.100000,78.180000
2018-07-10,272.000000,78.860000
2018-07-11,272.850000,74.170000
2018-07-12,271.900000,74.530000
2018-07-13,271.700000,74.920000
2018-07-16,272.050000,71.870000
2018-07-17,271.550000,71.600000
2018-07-18,269.050000,73.060000
2018-07-19,270.300000,72.620000
2018-07-20,270.650000,73.000000
2018-07-23,271.900000,72.930000
