date,hf_geo_factor
2018-01-02,58.839040
2018-01-03,60.612085
2018-01-04,60.689736
2018-01-05,60.443840
2018-01-08,60.612085
2018-01-09,62.216885
2018-01-10,62.139233
2018-01-11,62.152175
2018-01-12,63.058111
2018-01-15,63.588730
2018-01-16,62.423956
2018-01-17,62.592201
2018-01-18,62.191001
2018-01-19,61.556846
2018-01-22,62.307478
2018-01-23,63.096937
2018-01-24,64.274653
2018-01-25,63.355775
2018-01-26,63.226356
2018-01-29,62.216885
2018-01-30,60.857982
2018-01-31,61.854511
2018-02-01,63.019285
2018-02-02,61.013285
2018-02-05,59.317891
2018-02-06,59.706149
2018-02-07,57.286007
2018-02-08,55.940046
2018-02-09,53.869336
2018-02-12,53.804626
2018-02-13,53.726975
2018-02-14,55.991814
2018-02-15,56.224768
2018-02-16,56.703620
2018-02-19,57.635439
2018-02-20,56.975401
2018-02-21,56.910691
2018-02-22,58.360188
2018-02-23,59.550846
2018-02-26,60.107349
2018-02-27,58.554317
2018-02-28,56.509491
2018-03-01,55.797685
2018-03-02,56.263594
2018-03-05,57.557788
2018-03-06,57.518962
2018-03-07,56.276536
2018-03-08,55.370601
2018-03-09,57.467194
2018-03-12,56.768330
2018-03-13,56.483607
2018-03-14,56.703620
2018-03-15,56.845981
2018-03-16,58.114291
2018-03-19,58.256652
2018-03-20,60.185001
2018-03-21,63.071053
2018-03-22,61.103878
2018-03-23,62.980459
2018-03-26,62.682795
2018-03-27,61.867453
2018-03-28,62.009814
2018-03-29,62.462782
2018-03-30,92.967808
2018-04-02,90.923168
2018-04-03,91.422871
2018-04-04,91.567442
2018-04-05,91.955087
2018-04-06,90.621455
2018-04-09,91.992502
2018-04-10,95.455668
2018-04-11,96.632159
2018-04-12,96.790284
2018-04-13,97.312010
2018-04-16,96.563215
2018-04-17,95.656295
2018-04-18,97.835814
2018-04-19,98.343984
2018-04-20,98.610492
2018-04-23,100.460762
2018-04-24,99.087079
2018-04-25,99.123509
2018-04-26,99.867085
2018-04-27,99.196369
2018-04-30,99.547212
2018-05-01,97.817653
2018-05-02,97.441725
2018-05-03,98.033859
2018-05-04,99.857020
2018-05-07,100.190743
2018-05-08,100.668796
2018-05-09,102.628061
2018-05-10,102.805813
2018-05-11,102.293167
2018-05-14,104.475268
2018-05-15,103.957590
2018-05-16,105.523564
2018-05-17,105.821229
2018-05-18,104.721164
2018-05-21,105.652984
2018-05-22,105.398434
2018-05-23,105.825703
2018-05-24,104.836231
2018-05-25,101.571854
2018-05-28,99.891667
2018-05-29,100.164060
2018-05-30,103.249886
2018-05-31,103.030059
2018-06-01,101.827072
2018-06-04,100.223869
2018-06-05,99.638659
2018-06-06,100.645122
2018-06-07,102.684489
2018-06-08,101.239040
2018-06-11,101.314055
2018-06-12,100.083160
2018-06-13,101.420041
2018-06-14,100.423938
2018-06-15,96.796334
2018-06-18,99.974592
2018-06-19,99.726430
2018-06-20,99.057443
2018-06-21,97.854455
2018-06-22,100.572874
2018-06-25,99.388715
2018-06-26,101.283751
2018-06-27,102.179567
2018-06-28,102.744965
2018-06-29,104.943442
2018-07-02,102.847461
2018-07-03,103.352196
2018-07-04,103.714571
2018-07-05,102.819367
2018-07-06,102.512196
2018-07-09,103.838717
2018-07-10,104.817031
2018-07-11,98.523443
2018-07-12,99.109451
2018-07-13,99.657859
2018-07-16,95.694191
2018-07-17,95.421185
2018-07-18,97.163314
2018-07-19,96.451934
2018-07-20,96.867302
2018-07-23,96.749413
